Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
070206; м.Камінь-Каширський – вул.Гоголя, вул.Ковельська: 2–118, 120–152, 174–180, 190–196., вул.Коніщука: 1–23., вул.Лесі Українки, вул.Лісна, вул.Матросова, вул.Набережна: 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41., вул.Некрасова, вул.Огородня, вул.Романа Мстиславовича, вул.Росяна, вул.Садова, вул.Сонячна, вул.Хлібна, вул.Ювілейна, вул.17-го Вересня, вул.8-го Березня, пл.Культури, пров.Дорожній, пров.Коніщука, пров.Кривий, пров.Лесі Українки, пров.Матросова, пров.Набережний, пров.Некрасова, пров.Низький, пров.Садовий, пров.Сонячний, пров.Торговий, пров.Хлібний; пл.Культури, 1, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500 (будинок культури, актова зала);Середня;24.970195,51.616338
070207; м.Камінь-Каширський – вул.Богдана Хмельницького, вул.Василя Кмецинського, вул.Василя Стуса, вул.Ватутіна: 10, 12, 14, 16, 18, 20, 22, 24–24А, 26, 28, 30, 32, 34, 36, 38, 40, 42–141., вул.Воля, вул.Гайова, вул.Грушевського, вул.Злагоди, вул.Комарова, вул.Окружна, вул.Олега Кошового, вул.Поричанська, вул.Суворова, вул.Чкалова, вул.Щорса, вул.Ярослава Мудрого, пров.Ватутіна, пров.Воля, пров.Злагоди, пров.Комарова, пров.Окружний, пров.Олега Кошового, пров.Ярослава Мудрого; вул.Воля, 44, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500 (Камінь-Каширське вище професійне училище, актова зала);Велика;25.044795,51.631895
070208; м.Камінь-Каширський – вул.Бабича, вул.Журавлина, вул.Застав’я, вул.Зелена, вул.Івана Мазепи, вул.Комсомольська, вул.Миколи Островського, вул.Неродів, вул.Паші Савельєвої, вул.Польова, вул.Січових Стрільців, вул.Спортивна, вул.Фестивальна, вул.Фрунзе, вул.Шабліовського: 1–98, 100, 102, 104, 106, 110, 114, 116, 118, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150., вул.Шевченка, вул.40-річчя Перемоги, пров.Бориса Гожого, пров.Івана Мазепи, пров.Неродів, пров.Паші Савельєвої, пров.Польовий, пров.Спортивний, пров.Фестивальний, пров.Шевченка, пров.40-річчя Перемоги; вул.Шевченка, 68, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500 (школа №2, актова зала);Велика;24.959220,51.634330
070209; м.Камінь-Каширський – вул.Аеродромна, вул.Бондаренка, вул.Бориса Гожого, вул.Вузька, вул.Вячеслава Чорновола, вул.Гагаріна, вул.Героїв-Чорнобиля, вул.Глущика, вул.Дзержинського, вул.Івана Франка, вул.Коніщука: 24–69., вул.Луначарського, вул.Магістральна, вул.Максима Рильського, вул.Меліораторів, вул.Набережна: 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40., вул.Олімпійська, вул.Осівецька, вул.Романа Шухевича, вул.Тиха, вул.Чапаєва, вул.Шкільна, пров.Бондаренка, пров.Гагаріна, пров.Дзержинського, пров.Магістральний, пров.Меліораторів, пров.Осівецький, пров.Промисловий, пров.Тихий, с.Олексіївка; вул.Гагаріна, 3, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500 (будинок дитячої юнацької творчості, актова зала);Велика;24.966389,51.639662
070210; м.Камінь-Каширський – вул.Вокзальна, вул.Зої Космодем’янської, вул.Ковельська: 119, 172, 182–188., вул.Котовського, вул.Льва Толстого, вул.Погранична, вул.Радянська, вул.Степана Бойка, вул.Три Дуби, пров.Ковельський, пров.Котовського, с.Підцир’я; вул.Савчука, 7, с.Підцир’я, Камінь-Каширський р-н, Волинська обл., 44506 (школа, фойє);Середня;24.957394,51.591465
070211; с.Боровне, с.Надрічне; вул.Центральна, 93А, с.Боровне, Камінь-Каширський р-н, Волинська обл., 44562 (сільський клуб, актова зала) / вул.Центральна, 91А, с.Боровне, Камінь-Каширський р-н, Волинська обл., 44562;Середня;25.284538,51.511626
070212; с.Житнівка; вул.Шкільна, 2А, с.Житнівка, Камінь-Каширський р-н, Волинська обл., 44562 (сільський клуб, актова зала);мала;25.234441,51.522867
070213; с.Брониця, с.Кримне; вул.Шевченка, 1, с.Кримне, Камінь-Каширський р-н, Волинська обл., 44535 (сільський клуб, фойє);Середня;25.177070,51.659441
070214; с.Бузаки; вул.Лесі Українки, 4, с.Бузаки, Камінь-Каширський р-н, Волинська обл., 44523 (сільський клуб, актова зала) / вул.8 Березня, 25, с.Бузаки, Камінь-Каширський р-н, Волинська обл., 44523;Середня;24.826862,51.634851
070215; с.Краснилівка; вул.Івана Франка, 43, с.Краснилівка, Камінь-Каширський р-н, Волинська обл., 44523 (сільський клуб, актова зала);мала;24.811008,51.617254
