Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
740663; с.Миси; вул.Курманова, 56, с.Миси, Ріпкинський р-н, Чернігівська обл., 15081 (фельдшерський пункт, фойє);мала;30.587601,51.648908
740664; с.Гучин, с.Трудове, с.Ямище; вул.Миру, 26, с.Гучин, Ріпкинський р-н, Чернігівська обл., 15064 (контора ТОВ "Україна", зала засідань);мала;31.046688,51.685316
740665; с.Даничі, с.Мутичів, с.Присторонь; вул.Перемоги, 21, с.Даничі, Ріпкинський р-н, Чернігівська обл., 15060 (сільська рада, зала засідань);мала;31.014837,51.782867
740666; с.Задеріївка, с.Кам’янка, с.Пізнопали, с.Плехтіївка, с.Суслівка; вул.Петренка, 4, с.Задеріївка, Ріпкинський р-н, Чернігівська обл., 15020 (сільський клуб, актова зала);мала;30.853026,51.913145
740667; с.Клубівка, с.Вир, с.Лизунова Рудня, с.Олександрівка Друга; вул.Нова, 2А, с.Клубівка, Ріпкинський р-н, Чернігівська обл., 15014 (сільська рада, актова зала);мала;30.942727,51.967570
740668; с.Красківське; вул.Шевченка, 16, с.Красківське, Ріпкинський р-н, Чернігівська обл., 15061 (сільська рада, зала засідань);мала;30.966496,51.737333
740669; с.Убіжичі; вул.Озерна, 9, с.Убіжичі, Ріпкинський р-н, Чернігівська обл., 15062 (будинок культури, актова зала);мала;30.942889,51.774369
740670; с.Ловинь; вул.Промислова, 29А, с.Ловинь, Ріпкинський р-н, Чернігівська обл., 15031 (школа, каб.3);мала;31.192897,51.889466
740671; с.Малинівка, с.Голубівка, с.Довгуни, с.Коробки, с.Маньки, с.Пищики; вул.Центральна, 24, с.Малинівка, Ріпкинський р-н, Чернігівська обл., 15043 (школа, актова зала);мала;30.722736,51.710519
740672; с.Малий Листвен, с.Бихольцохівка; вул.Центральна, 8, с.Малий Листвен, Ріпкинський р-н, Чернігівська обл., 15063 (сільський клуб, актова зала);мала;31.006466,51.719568
740673; с.Суличівка; вул.Дружби, 3, с.Суличівка, Ріпкинський р-н, Чернігівська обл., 15063 (сільський клуб, актова зала);мала;31.059564,51.729157
740674; с.Мохначі, с-ще Пересаж, с.Семаки, с.Углова Рудня; вул.Квітнева, 6, с.Мохначі, Ріпкинський р-н, Чернігівська обл., 15040 (сільський клуб, фойє);мала;30.782116,51.735320
740675; с.Галків, с.Губарі; вул.Центральна, 29, с.Галків, Ріпкинський р-н, Чернігівська обл., 15040 (адмінприміщення (колишня школа), фойє);мала;30.799053,51.693316
740676; с.Неданчичі, с.Грабівка, с.Комарівка, с.Мекшунівка, с.Нова Рудня, с.Рудня, с.Гута; вул.Тітова, 84, с.Неданчичі, Ріпкинський р-н, Чернігівська обл., 15046 (школа, каб.3) / вул.Тітова, 69, с.Неданчичі, Ріпкинський р-н, Чернігівська обл., 15046;Середня;30.632907,51.516883
740678; с.Новоукраїнське; вул.Шевченка, 2, с.Новоукраїнське, Ріпкинський р-н, Чернігівська обл., 15071 (сільська рада, зала засідань);мала;31.208062,51.740909
740679; с.Нові Яриловичі, с.Киселівка, с.Нова Папірня, с.Сиделівка, с.Скиток, с.Старі Яриловичі; вул.30 років Перемоги, 51, с.Нові Яриловичі, Ріпкинський р-н, Чернігівська обл., 15013 (сільський клуб, актова зала);Середня;31.006803,52.030119
740681; с.Олешня; вул.Шкільна, 4, с.Олешня, Ріпкинський р-н, Чернігівська обл., 15030 (школа, спортивна зала);Середня;31.147661,51.950521
740682; с.Заводське, с.Олександрівка; вул.Шевченка, 150, с.Олександрівка, Ріпкинський р-н, Чернігівська обл., 15030 (сільський клуб, актова зала);мала;31.228228,51.959466
740683; с.Грибова Рудня; вул.Партизанська, 124А, с.Грибова Рудня, Ріпкинський р-н, Чернігівська обл., 15030 (сільський клуб, актова зала);мала;31.099427,51.952617
740684; с.Духанки, с.Павлівка, с.Шумани; вул.Шкільна, 11, с.Павлівка, Ріпкинський р-н, Чернігівська обл., 15053 (сільський клуб, актова зала);мала;30.903530,51.640721
740685; с.Петруші, с.Бахани, с.Кислі; вул.Любецька, 2, с.Петруші, Ріпкинський р-н, Чернігівська обл., 15050 (сільський клуб, фойє) / вул.Центральна, 24, с.Петруші, Ріпкинський р-н, Чернігівська обл., 15050;мала;30.881570,51.752115
740686; с.Зубахи, с.Кратинь, с.Рашкова Слобода, с.Сенюки; вул.Братська, 3, с.Кратинь, Ріпкинський р-н, Чернігівська обл., 15050 (адмінприміщення (колишня школа), класна кімната);мала;30.844038,51.781929
740688; с.Пушкарі, с.Високинь, с.Молочки, с.Тамарівка; вул.Річкова, 13, с.Пушкарі, Ріпкинський р-н, Чернігівська обл., 15052 (сільський клуб, актова зала);мала;30.939442,51.692144
740689; с.Сибереж; вул.Перемоги, 30, с.Сибереж, Ріпкинський р-н, Чернігівська обл., 15074 (будинок культури, актова зала) / вул.Перемоги, 15, с.Сибереж, Ріпкинський р-н, Чернігівська обл., 15074;мала;31.134644,51.675798
740690; с.Великі Осняки; вул.Перемоги, 9, с.Великі Осняки, Ріпкинський р-н, Чернігівська обл., 15074 (сільський клуб, актова зала);мала;31.192385,51.685520
740691; с.Смолигівка, с.Березівка, с.Клонів, с.Розсудів, с.Скитьки, с.Тулія; вул.Чернігівська, 15, с.Смолигівка, Ріпкинський р-н, Чернігівська обл., 15044 (сільська рада, зала засідань);мала;30.754600,51.676828
740692; с.Тараса Шевченка, с.Корольча; вул.Шевченка, 2А, с.Тараса Шевченка, Ріпкинський р-н, Чернігівська обл., 15054 (сільська рада, зала засідань);мала;30.801602,51.638796
740693; с.Мокрі Велички, с.Вертеча; вул.Молодіжна, 19, с.Мокрі Велички, Ріпкинський р-н, Чернігівська обл., 15054 (контора лісництва, зала засідань);мала;30.780046,51.615235
740811; с.Андріївка; вул.Михайлівська, 135, с.Андріївка, Чернігівський р-н, Чернігівська обл., 15554 (школа, спортивна зала);Середня;31.013715,51.399151
740812; с.Анисів; вул.Герасименка, 21, с.Анисів, Чернігівський р-н, Чернігівська обл., 15560 (школа, спортивна зала) / вул.Герасименка, 26, с.Анисів, Чернігівський р-н, Чернігівська обл., 15560;Середня;31.353419,51.434515
740813; с.Лукашівка; вул.Шкільна, 10, с.Лукашівка, Чернігівський р-н, Чернігівська обл., 15560 (школа, клас народознавства);мала;31.393989,51.384849
740814; с.Боровики, с.Будище, с.Василева Гута, с.Ворохівка, с.Ліски, с.Лісне, с.Хатилова Гута; вул.Центральна, 6, с.Боровики, Чернігівський р-н, Чернігівська обл., 15546 (сільська рада, к.3);мала;30.728674,51.296926
740815; с.Боромики, с.Петрове; вул.Механізаторів, 2, с.Боромики, Чернігівський р-н, Чернігівська обл., 15532 (будинок культури, кабінет директора);мала;31.604466,51.537588
740816; с.Моргуличі, с.Снов’янка; вул.Лісова, 1В, с.Снов’янка, Чернігівський р-н, Чернігівська обл., 15534 (школа, спортивна зала);Середня;31.569054,51.560043
740817; с.Буди; вул.Польова, 24, с.Буди, Чернігівський р-н, Чернігівська обл., 15564 (сільська рада, к.2);мала;31.435151,51.357414
740818; с.Ведильці; вул.Центральна, 26А, с.Ведильці, Чернігівський р-н, Чернігівська обл., 15542 (сільська рада, актова зала);Середня;30.852777,51.459807
740819; с.Малійки; вул.Дружби, 2А, с.Малійки, Чернігівський р-н, Чернігівська обл., 15542 (фельдшерсько-акушерський пункт, к.3);мала;30.840205,51.499158
740820; смт Гончарівське – вул.Танкістів: 1–8, 10, 84–88, військова частина А1815.,; вул.Танкістів, 12, смт Гончарівське, Чернігівський р-н, Чернігівська обл., 15558 (будинок офіцерів, танцювальна зала, 1-й поверх);Середня;30.925918,51.297980
740821; смт Гончарівське – вул.Танкістів: 9А, 48–68, ’Десна’, ’Зірка’-1, ’Зірка’-2.,; вул.Танкістів, 12, смт Гончарівське, Чернігівський р-н, Чернігівська обл., 15558 (будинок офіцерів, фойє, 2-й поверх);Середня;30.925175,51.297977
740822; смт Гончарівське – вул.Артилеристів, вул.Лісова, вул.Танкістів: 70–82.,; вул.Танкістів, 82А, смт Гончарівське, Чернігівський р-н, Чернігівська обл., 15558 (гімназія, фойє);Середня;30.934473,51.299323
740823; с.Дніпровське, с.Старик, с.Шмаївка; вул.Святошинська, 67, с.Дніпровське, Чернігівський р-н, Чернігівська обл., 15545 (будинок культури, фойє);мала;30.689388,51.354652
740824; с.Загатка, с.Повідов, с.Прохорів; вул.Миру, 17, с.Повідов, Чернігівський р-н, Чернігівська обл., 15545 (школа, к.3);мала;30.675510,51.330248
740825; с.Довжик; вул.Любецька, 2, с.Довжик, Чернігівський р-н, Чернігівська обл., 15511 (сільська рада, к.3);мала;31.015816,51.615645
740826; с.Рогощі, с.Табаївка, с.Унучки; вул.Молодіжна, 1, с.Табаївка, Чернігівський р-н, Чернігівська обл., 15511 (сільський клуб, фойє);мала;31.107720,51.639174
740827; с.Жеведь; вул.Садова, 1А, с.Жеведь, Чернігівський р-н, Чернігівська обл., 15556 (сільська рада, к.4);мала;30.975915,51.327786
740828; с.Жукотки, с.Гірманка, с.Левоньки; вул.Незалежності, 28, с.Жукотки, Чернігівський р-н, Чернігівська обл., 15517 (будинок культури, фойє);мала;31.035639,51.534275
740829; с.Іванівка; вул.Дружби, 33, с.Іванівка, Чернігівський р-н, Чернігівська обл., 15562 (будинок культури, танцювальна зала);Середня;31.291066,51.376614
740830; с.Количівка; вул.Шкільна, 32, с.Количівка, Чернігівський р-н, Чернігівська обл., 15563 (школа, спортивна зала);Середня;31.299293,51.416756
740831; с.Ягідне; вул.Лісова, 1, с.Ягідне, Чернігівський р-н, Чернігівська обл., 15562 (школа, фойє);мала;31.270778,51.344498
740832; с.Кархівка, с.Леньків Круг; вул.Тракторна, 10, с.Кархівка, Чернігівський р-н, Чернігівська обл., 15551 (сільська рада, к.3);Середня;30.912688,51.466491
740833; с.Ковпита, с.Шульгівка; вул.Грачова, 1, с.Ковпита, Чернігівський р-н, Чернігівська обл., 15544 (будинок культури, фойє) / вул.Грачова, 3, с.Ковпита, Чернігівський р-н, Чернігівська обл., 15544;Середня;30.858817,51.385622
740834; с-ще Ревунів Круг, с.Жидиничі; вул.Соснова, 8, с.Жидиничі, Чернігівський р-н, Чернігівська обл., 15544 (сільський клуб, фойє);мала;30.869542,51.349492
740835; с.Киїнка; вул.Перемоги, 11, с.Киїнка, Чернігівський р-н, Чернігівська обл., 15505 (школа, актова зала);Велика;31.193704,51.451297
740836; с.Гущин, с.Жавинка; вул.Іллінська, 41, с.Жавинка, Чернігівський р-н, Чернігівська обл., 15583 (школа, актова зала);Середня;31.255143,51.448061
740837; с.Киселівка, с.Березанка; вул.Нова, 1А, с.Киселівка, Чернігівський р-н, Чернігівська обл., 15530 (навчально-виховний комплекс, спортивна зала);Середня;31.448490,51.539270
740838; с.Брусилів, с.Кобилянка; вул.Шевченка, 50, с.Брусилів, Чернігівський р-н, Чернігівська обл., 15531 (школа, спортивна зала);Середня;31.510546,51.541381
740839; с.Красне; вул.Шевченка, 45А, с.Красне, Чернігівський р-н, Чернігівська обл., 15572 (школа, спортивна зала) / вул.Зелена, 4, с.Красне, Чернігівський р-н, Чернігівська обл., 15572;Середня;31.270355,51.291597
740840; с.Скорінець; вул.Лозова, 1А, с.Скорінець, Чернігівський р-н, Чернігівська обл., 15572 (сільський клуб, к.3);мала;31.299599,51.313940
740841; с.Золотинка; вул.Лугова, 39, с.Золотинка, Чернігівський р-н, Чернігівська обл., 15572 (сільський клуб, актова зала);мала;31.191499,51.331531
740842; с.Кувечичі; вул.Першотравнева, 1, с.Кувечичі, Чернігівський р-н, Чернігівська обл., 15512 (будинок культури, фойє);мала;30.950201,51.628955
740843; с.Ладинка, с.Друцьке; вул.Шевченка, 71А, с.Ладинка, Чернігівський р-н, Чернігівська обл., 15570 (будинок культури, фойє);мала;31.144976,51.287875
740844; с.Левковичі, с.Кругле, с.Льгівка; вул.Миру, 11, с.Левковичі, Чернігівський р-н, Чернігівська обл., 15550 (будинок культури, актова зала);мала;31.083174,51.494251
740845; с.Зайці; вул.Дружби, 38, с.Зайці, Чернігівський р-н, Чернігівська обл., 15552 (сільський клуб, читальна зала);мала;31.123032,51.471450
740846; с.Льгів; вул.Молодіжна, 5Б, с.Льгів, Чернігівський р-н, Чернігівська обл., 15559 (сільська бібліотека, актова зала);мала;31.147600,51.495051
740847; смт Михайло-Коцюбинське; вул.Миру, 1, смт Михайло-Коцюбинське, Чернігівський р-н, Чернігівська обл., 15552 (будинок культури, фойє);Велика;31.077361,51.450889
740848; с.Мохнатин, с.Юр’ївка; вул.Перемоги, 19, с.Мохнатин, Чернігівський р-н, Чернігівська обл., 15513 (сільська рада, актова зала);мала;31.068472,51.591280
740849; с.Мньов, с.Глядин, с.Пустинки, с.Храпате, с-ще Центральне; вул.Миру, 9, с.Мньов, Чернігівський р-н, Чернігівська обл., 15540 (школа, спортивна зала);Середня;30.652027,51.450637
740850; с.Новий Білоус, с.Кошівка; вул.Троїцька, 3А, с.Новий Білоус, Чернігівський р-н, Чернігівська обл., 15501 (школа, спортивна зала) / вул.Свиридовського, 54, с.Новий Білоус, Чернігівський р-н, Чернігівська обл., 15501;Середня;31.190474,51.536291
740851; с.Деснянка; вул.Продольна, 1А, с.Деснянка, Чернігівський р-н, Чернігівська обл., 15501 (сільський клуб, зала засідань);мала;31.218547,51.567066
740852; смт Олишівка – вул.Зарічна, вул.Кузнецька, вул.Лісова, вул.Садова, вул.Чернігівська, вул.Шевченка, пров.Кузнецький, пров.Лісовий, пров.Нафтовиків, пров.Новий, пров.О.Кошового, пров.Південний, пров.Польовий, пров.Поштовий, пров.Садовий, пров.Чернігівський, пров.Шосейний; вул.Чернігівська, 4, смт Олишівка, Чернігівський р-н, Чернігівська обл., 15575 (будинок культури, фойє);Середня;31.332030,51.218810
740853; смт Олишівка – вул.Газопровід, вул.Козацька, вул.Молодіжна, вул.Набережна, вул.Озерна, вул.Шкільна, пров.Вишневий, пров.Козацький, пров.Набережний, пров.Озерний, пров.Північний, пров.Пушкіна, пров.Шевченка, пров.Шкільний; вул.Шкільна, 11, смт Олишівка, Чернігівський р-н, Чернігівська обл., 15575 (школа, фойє);Середня;31.337587,51.220557
740854; с.Пакуль, с.Линея, с.Семенягівка; вул.Троїцька, 70, с.Пакуль, Чернігівський р-н, Чернігівська обл., 15543 (школа, актова зала);Середня;30.789283,51.404405
740855; с.Завод, с.Папірня, с.Пильня, с.Рудня; вул.Комка, 13, с.Пильня, Чернігівський р-н, Чернігівська обл., 15543 (фельдшерсько-акушерський пункт, к.3);мала;30.725748,51.408836
740856; с.Піски; вул.Нова, 6, с.Піски, Чернігівський р-н, Чернігівська обл., 15533 (будинок культури, танцювальна зала);мала;31.437054,51.469919
740857; с.Єньків, с.Підгірне; вул.Староніжинська, 18, с.Підгірне, Чернігівський р-н, Чернігівська обл., 15533 (клуб-бібліотека, зала засідань);мала;31.403121,51.470499
740858; с.Петрушин; вул.Чернігівська, 54, с.Петрушин, Чернігівський р-н, Чернігівська обл., 15521 (сільський клуб, актова зала);мала;31.352830,51.648670
740859; с.Пльохів, с.Бірки, с.Скугарі; вул.Центральна, 37, с.Пльохів, Чернігівський р-н, Чернігівська обл., 15516 (сільська рада, зала засідань);мала;30.906469,51.537081
740860; с.Трисвятська Слобода; вул.Волгоградська, 16Б, с.Трисвятська Слобода, Чернігівський р-н, Чернігівська обл., 15505 (школа, актова зала);Середня;31.204805,51.473769
740861; с.Павлівка; вул.30 років Перемоги, 2Д, с.Павлівка, Чернігівський р-н, Чернігівська обл., 15503 (будинок культури, актова зала);Середня;31.227879,51.469015
740862; с.Редьківка; вул.Процька, 8, с.Редьківка, Чернігівський р-н, Чернігівська обл., 15518 (навчально-виховний комплекс, спортивна зала) / вул.Процька, 12, с.Редьківка, Чернігівський р-н, Чернігівська обл., 15518;мала;31.173939,51.560243
740863; с.Рудка; вул.Перемоги, 7, с.Рудка, Чернігівський р-н, Чернігівська обл., 15514 (сільська рада, зала засідань);Середня;31.122062,51.572059
740864; с.Селянська Слобода; вул.Весняна, 4, с.Селянська Слобода, Чернігівський р-н, Чернігівська обл., 15517 (сільський клуб, актова зала);мала;31.063030,51.539726
740865; с.Роїще; вул.Молодіжна, 2, с.Роїще, Чернігівський р-н, Чернігівська обл., 15520 (школа, спортивна зала) / вул.Молодіжна, 7, с.Роїще, Чернігівський р-н, Чернігівська обл., 15520;Середня;31.265187,51.649933
740866; смт Седнів; вул.Я.Лизогуба, 21, смт Седнів, Чернігівський р-н, Чернігівська обл., 15522 (селищна рада, актова зала);Середня;31.562965,51.641653
740867; с-ще Нове; вул.Центральна, 3, с-ще Нове, Чернігівський р-н, Чернігівська обл., 15527 (дитячий садок, к.3);мала;31.492819,51.654002
740868; с.Серединка; вул.Дружби, 94, с.Серединка, Чернігівський р-н, Чернігівська обл., 15574 (школа, фізичний кабінет);мала;31.200071,51.241638
740869; с.Сіножацьке, с.Топчіївка; вул.Шосейна, 7А, с.Топчіївка, Чернігівський р-н, Чернігівська обл., 15574 (сільська бібліотека, к.2);мала;31.232520,51.234998
740870; с.Слабин, с.Мажугівка, с.Якубівка; вул.Молодіжна, 10, с.Слабин, Чернігівський р-н, Чернігівська обл., 15555 (будинок культури, актова зала);мала;31.121306,51.353681
740871; с.Слобода, с.Вікторівка, с.Драчівщина; вул.Дружби, 76, с.Слобода, Чернігівський р-н, Чернігівська обл., 15564 (сільська рада, зала засідань);мала;31.373215,51.335177
740872; с.Смолин; вул.Нова, 17, с.Смолин, Чернігівський р-н, Чернігівська обл., 15557 (будинок культури, спортивна зала);Середня;30.992901,51.290863
740873; с.Козероги; вул.Лугова, 1К, с.Козероги, Чернігівський р-н, Чернігівська обл., 15556 (клуб-бібліотека, к.3);мала;31.033910,51.311367
740874; с.Старий Білоус; вул.Київська, 2, с.Старий Білоус, Чернігівський р-н, Чернігівська обл., 15504 (школа, актова зала) / вул.Гастелло, 11А, с.Старий Білоус, Чернігівський р-н, Чернігівська обл., 15504;Велика;31.208595,51.492021
740875; с.Терехівка; вул.Незалежності, 4, с.Терехівка, Чернігівський р-н, Чернігівська обл., 15525 (сільська рада, депутатська кімната);мала;31.407562,51.593643
740876; с.Малинівка, с.Стаси; вул.Чернігівська, 4, с.Малинівка, Чернігівський р-н, Чернігівська обл., 15525 (сільська бібліотека, к.2);мала;31.385040,51.614161
740877; с.Товстоліс; вул.Дружби, 3, с.Товстоліс, Чернігівський р-н, Чернігівська обл., 15525 (фельдшерсько-акушерський пункт, к.3);мала;31.341877,51.582717
740878; с.Вознесенське; вул.Подільська, 1А, с.Вознесенське, Чернігівський р-н, Чернігівська обл., 15535 (навчально-виховний комплекс, спортивна зала);Середня;31.429804,51.523620
740879; с.Новоселівка; вул.Яцевська, 28, с.Новоселівка, Чернігівський р-н, Чернігівська обл., 15502 (школа, к.3);Середня;31.384255,51.532181
740880; с.Халявин; вул.Шевченка, 55, с.Халявин, Чернігівський р-н, Чернігівська обл., 15524 (сільська рада, зала засідань);Середня;31.300482,51.597435
740881; с.Полуботки, с.Шевченка; вул.Дружби, 4, с.Полуботки, Чернігівський р-н, Чернігівська обл., 14039 (фельдшерсько-акушерський пункт, к.3);мала;31.278522,51.558282
740882; с.Хмільниця; вул.Дружби, 25Б, с.Хмільниця, Чернігівський р-н, Чернігівська обл., 15510 (сільська рада, актова зала);Середня;31.178631,51.645156
740883; с.Рівнопілля; вул.Перемоги, 16, с.Рівнопілля, Чернігівський р-н, Чернігівська обл., 15582 (сільський клуб, танцювальна зала);мала;31.227023,51.611463
740884; с.Рижики, с.Рябці; вул.Центральна, 41А, с.Рябці, Чернігівський р-н, Чернігівська обл., 15510 (контора сільськогосподарського підприємства, к.3);мала;31.198331,51.613712
740885; с.Черниш; вул.Миру, 41, с.Черниш, Чернігівський р-н, Чернігівська обл., 15522 (школа, коридор);мала;31.512865,51.620096
740886; с.Клочків; вул.Сновська, 35, с.Клочків, Чернігівський р-н, Чернігівська обл., 15528 (школа, коридор);мала;31.593854,51.612066
740887; с.Шестовиця; вул.Перемоги, 40, с.Шестовиця, Чернігівський р-н, Чернігівська обл., 15561 (будинок культури, фойє);мала;31.193613,51.383608
740888; с.Шибиринівка, с.Москалі; вул.Садова, 8, с.Шибиринівка, Чернігівський р-н, Чернігівська обл., 15515 (сільський клуб, фойє);мала;30.975049,51.554330
740889; с.Антоновичі; вул.Садова, 7А, с.Антоновичі, Чернігівський р-н, Чернігівська обл., 15515 (сільський клуб, фойє);мала;30.918420,51.579378
741061; м.Чернігів – вул.Десняка: 3–17, 23., вул.Єлецька, вул.Лесі Українки: 23, 25, 27, 29, 31, 33, 36–46., вул.Лисенка, вул.Лісковицька: 18–46., вул.Нахімова, вул.Старостриженська, вул.Тиха, вул.Толстого: 1–31, 34–34А, 36, 38, 40, 42, 44, 46, 48, 52, 54., вул.Успенська, пров.Гайовий, пров.Нахімова, пров.Тихий; вул.Толстого, 17, м.Чернігів, 14008 (школа №4, 1-й корпус, спортивна зала);Велика;31.295566,51.483895
