Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
740641; смт Добрянка – вул.Артазеєва, вул.Байдакова, вул.Б.Хмельницького: 1А–138., вул.Григор’єва: 1–59., вул.Миру, вул.Перемоги, вул.Поліська, вул.Привокзальна, вул.Пушкіна, вул.Святодимитріївська: 2–119, 129–131, 133–135, 141, 143, 149, 151., вул.Центральна: 1–163, 167, 169, 173.,; вул.Центральна, 143, смт Добрянка, Ріпкинський р-н, Чернігівська обл., 15011 (музична школа, актова зала);Середня;31.181056,52.065061
740642; смт Добрянка – вул.Б.Хмельницького: 139–196., вул.Гагаріна, вул.Григор’єва: 60–164., вул.Залиман, вул.Коцюбинського, вул.Лермонтова, вул.Площа Центральна, вул.Преображенська, вул.Самійленко, вул.Святодимитріївська: 126–128, 132, 136–140, 142, 144–146, 150, 153–174., вул.Смирнова С.Г. героя СРСР, вул.Троїцька, вул.Центральна: 166, 168, 170, 178–405., вул.Шевченко, пров.Коцюбинського; вул.Преображенська, 7, смт Добрянка, Ріпкинський р-н, Чернігівська обл., 15011 (школа, фойє);Середня;31.187236,52.063869
740643; с.Аткильня, с.Вербівка; вул.Павла Тичини, 105, с.Вербівка, Ріпкинський р-н, Чернігівська обл., 15011 (сільський клуб, фойє);мала;31.230041,52.026104
740644; смт Замглай; вул.Центральна, 3, смт Замглай, Ріпкинський р-н, Чернігівська обл., 15005 (школа, спортивна зала);Середня;31.154527,51.816420
740645; смт Любеч, с-ще Гірки, с.Кукарі; вул.Преображенська, 31, смт Любеч, Ріпкинський р-н, Чернігівська обл., 15041 (школа, спортивна зала) / вул.Красна площа, 3, смт Любеч, Ріпкинський р-н, Чернігівська обл., 15041;Велика;30.655398,51.704069
740646; смт Радуль, с.Новосілки, с.Переділ; вул.Красна площа, 30, смт Радуль, Ріпкинський р-н, Чернігівська обл., 15021 (школа, спортивна зала);мала;30.718167,51.831270
740647; с.Корчев’я, с.Лопатні; вул.Миру, 31, с.Лопатні, Ріпкинський р-н, Чернігівська обл., 15021 (сільський клуб, актова зала);мала;30.741735,51.862744
740648; смт Ріпки – вул.Васильєва, вул.Вишнева, вул.Гоголя, вул.Дніпровська, вул.Довженка, вул.Дружби, вул.Д.Шелупця, вул.Зарічна, вул.Ім. В.П.Ткаченка, вул.Київська, вул.Комарова, вул.Короленка, вул.Коцюбинського, вул.Миру, вул.Молодіжна, вул.Приозерна, вул.Садова, вул.Святомиколаївська: 1–100., вул.Сонячна, вул.Суворова, вул.Українська, вул.Чернігівська, вул.Шевченка: 1–94, 96, 98–100, 102, 104, 108, 110А, 112, 114, 116–116А, 118, 120., пров.Короленка, пров.Приозерний; вул.Святомиколаївська, 43, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000 (гімназія, спортивна зала);Велика;31.091562,51.796979
740649; смт Ріпки – вул.Б.Хмельницького, вул.Вереснева, вул.Весняна, вул.Виноградна, вул.Грициніна, вул.Деснянська, вул.Калинова, вул.Квіткова, вул.Кільцева, вул.Козацька, вул.Купріївська, вул.Лесі Українки, вул.Лісова, вул.Лугова, вул.Любецька, вул.Медова, вул.Незалежності, вул.Пирогова, вул.Південна, вул.Поліська, вул.Промислова, вул.Святкова, вул.Святомиколаївська: 101–178А., вул.Соборна, вул.Софіївська, вул.Урожайна, вул.Шкільна, вул.Яблунева, пров.Васильєва, пров.Кільцевий, пров.Південний, пров.Пільський; вул.Пирогова, 5, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000 (школа №2, фойє);Велика;31.078920,51.804632
740650; смт Ріпки – вул.Д.Куриленка, вул.Лермонтова, вул.Паркова, вул.Піщанівська, вул.Попудренка, вул.Пушкіна, вул.Софії Русової, вул.Чкалова, вул.Шевченка: 95, 97, 101, 103, 105–107, 109, 111, 113, 115, 117, 119, 121–318., вул.1 Травня, вул.40 років Перемоги, вул.8 Березня, пров.Лермонтова, пров.Чкалова, с.Глиненка; вул.Васильєва, 41, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000 (будинок творчості дітей, актова зала);Велика;31.092662,51.799440
740651; смт Ріпки – вул.Вокзальна, вул.Гагаріна, вул.Заводська, вул.Залізничників, вул.Зелена, вул.Пасічна, вул.Польова, вул.Трудова; вул.Вокзальна, 16, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000 (селищний клуб, фойє);мала;31.100750,51.788808
740652; с.Велика Вісь; вул.1 Травня, 6А, с.Велика Вісь, Ріпкинський р-н, Чернігівська обл., 15073 (сільський клуб, фойє);мала;31.239355,51.706319
740653; с.Звеничів; вул.1 Травня, 100, с.Звеничів, Ріпкинський р-н, Чернігівська обл., 15073 (сільський клуб, фойє);мала;31.300146,51.701745
740654; с.Великий Зліїв, с.Вороб’їв, с.Малий Зліїв, с.Петрики, с.Пушкіне, с.Чисті Лужі; вул.Шкільна, 2, с.Великий Зліїв, Ріпкинський р-н, Чернігівська обл., 15051 (школа, спортивна зала);Середня;30.868875,51.691572
740655; с.Вербичі; вул.Перемоги, 23, с.Вербичі, Ріпкинський р-н, Чернігівська обл., 15015 (школа, фойє);мала;31.161851,51.721453
740656; с.Вишневе, с.Чумак; вул.Пушкіна, 1, с.Вишневе, Ріпкинський р-н, Чернігівська обл., 15070 (школа, спортивна зала);мала;31.217081,51.770391
740657; с.Буянки; вул.Центральна, 53Б, с.Буянки, Ріпкинський р-н, Чернігівська обл., 15070 (сільський клуб, фойє);мала;31.179026,51.781136
740658; с.Голубичі; вул.Чернігівська, 6, с.Голубичі, Ріпкинський р-н, Чернігівська обл., 15072 (будинок культури, актова зала);мала;31.158438,51.749901
740659; с.Горностаївка, с.Гута-Ткачова, с.Строївка, с.Чижівка; вул.Першотравнева, 79, с.Горностаївка, Ріпкинський р-н, Чернігівська обл., 15010 (сільський клуб, актова зала);мала;31.103751,52.068879
740661; с.Грабів, с.Пилипча, с.Чудівка; вул.Шкільна, 26, с.Грабів, Ріпкинський р-н, Чернігівська обл., 15023 (адмінприміщення (колишня школа), фойє);мала;30.970229,51.837250
740662; с.Губичі, с.Гуньківка, с.Лісківка, с.Редьківка, с.Шкуранка; вул.Любецька, 14, с.Губичі, Ріпкинський р-н, Чернігівська обл., 15081 (адмінприміщення (колишня контора КСП), фойє) / вул.Любецька, 12, с.Губичі, Ріпкинський р-н, Чернігівська обл., 15081;мала;30.593223,51.585423
