Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
530036; м.Гадяч – вул.Воровського, вул.Гетьманська, вул.Лохвицька, вул.Терешкової, вул.50 років Жовтня: 12., пл.Миру, пров.1-й Банний, пров.2-й Банний; вул.Гетьманська, 35, м.Гадяч, Полтавська обл., 37300 (гімназія №1, фойє);Велика;33.982332,50.373300
530037; м.Гадяч – вул.Білохи: 32–32А, 34, 36, 38, 40, 42–42А, 44, 46, 48, 50, 52–52А, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88–177., вул.Владка, вул.Кооперативна, вул.Корзуна, вул.Набережна Груні: 1–65, 67., вул.Набережна Псла, вул.Підгір’я Псла, вул.Чапаєва, пл.Піонерська, пл.Соборна, пров.Бригадний, пров.Виноградний, пров.Гончарний, пров.Горний, пров.Драгоманова, пров.Корзуна, пров.Некрасова, пров.Панфілова, пров.Піонерський, пров.Пролетарський, пров.Сумський, пров.Чапаєва; пл.Соборна, 9, м.Гадяч, Полтавська обл., 37300 (училище культури, танцювальний зал);Середня;33.997682,50.372920
530038; м.Гадяч – вул.Замкова, вул.Садова, вул.Степаненка: 1–11, 13, 15, 17, 19., вул.Українки Лесі, вул.Фрунзе, вул.Шевченка, вул.Ярова, пров.Кірова, пров.Космодем’янської, пров.Кошового, пров.Лермонтова, пров.Матросова, пров.Маяковського, пров.Садовий; вул.Українки Лесі, 8, м.Гадяч, Полтавська обл., 37300 (школа №2, спортивний зал);Середня;33.994395,50.368071
530039; м.Гадяч – вул.Горького, вул.Жовтнева, вул.Козаченка, вул.Красна Гірка, вул.Малобудищанська, вул.Островського, вул.Перевальна, вул.Першотравнева, вул.Пушкіна, вул.Санаторна, вул.Степаненка: 12–12А, 14, 16, 18, 20–88А., вул.Тельмана: 139–155, 159–259., вул.Устінова, вул.50 років Жовтня: 130–152., пров.Ватутіна, пров.Володарського, пров.Жовтневий, пров.Островського, пров.Першотравневий, пров.Степаненка, пров.Тельмана, пров.Яблуневий; вул.Степаненка, 41, м.Гадяч, Полтавська обл., 37300 (школа №3, спортивний зал);Велика;34.002913,50.363712
530040; м.Гадяч – вул.Волгоградська, вул.Коцюбинського, вул.Осипенко, вул.Спортивна, вул.Тельмана: 77, 79, 81, 83, 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129–137, 157., вул.50 років Жовтня: 87–129., пров.Веселий, пров.Весняний, пров.Вишневий, пров.Заярський, пров.Коцюбинського, пров.Обривний, пров.Перемоги, пров.Тракторний, пров.Чехова, пров.Чкалова, пров.1-й Волгоградський, пров.1-й Заводський, пров.1-й Польовий, пров.1-й Червоний, пров.2-й Волгоградський, пров.2-й Заводський, пров.2-й Польовий, пров.2-й Червоний, пров.3-й Польовий; вул.50 років Жовтня, 88, м.Гадяч, Полтавська обл., 37300 (професійний аграрний ліцей, навчальний клас);Велика;33.989501,50.361749
530041; м.Гадяч – вул.Будька, вул.Драгоманова, вул.Духова, вул.Заводська, вул.Пчілки Олени, вул.Радянська, вул.Тельмана: 31–76, 78, 80, 82–82А, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124–124А, 126, 128., вул.Тімірязєва, вул.50 років Жовтня: 41, 43, 45, 47–86., пров.Тімірязєва; вул.Драгоманова, 16, м.Гадяч, Полтавська обл., 37300 (гуртожиток училища культури, актова зала);Велика;33.979634,50.366072
530042; м.Гадяч – вул.Гагаріна, вул.Дружби, вул.Прокоповича, вул.Тельмана: 14, 16, 18–30., пров.Прокоповича, пров.Сонячний; вул.Тельмана, 29, м.Гадяч, Полтавська обл., 37300 (Інститут бджільництва імені П.І.Прокоповича, фойє);Велика;33.974447,50.365737
530043; м.Гадяч – вул.Андрієвського, вул.Ентузіастів, вул.Маркса, вул.Миру, вул.Молодіжна, вул.Незалежності, вул.Ставкова, вул.Степова, вул.Тельмана: 1–13, 14А–15, 16А–17., вул.Швидкого, пров.Базарний, пров.Шкільний; вул.Швидкого, 2, м.Гадяч, Полтавська обл., 37300 (школа №4, фойє);Велика;33.973017,50.374083
530044; м.Гадяч – вул.Павлова, вул.50 років Жовтня: 2–10, 13–40, 42, 44, 46., пров.Павлова; вул.50 років Жовтня, 17А, м.Гадяч, Полтавська обл., 37300 (гуртожиток, актова зала);Велика;33.987105,50.369362
530045; м.Гадяч – вул.Дзержинського, вул.Кіндратенка: 1–24, 26, 28, 30, 32, 34, 36, 38., вул.Комарова, вул.Комсомольська, вул.Крупської, вул.Мирного Панаса, пров.Дзержинського, пров.Кіндратенка, пров.Короленка, пров.Лохвицький, пров.Луначарського, тупик Гоголя, тупик Лохвицький; вул.Кіндратенка, 25, м.Гадяч, Полтавська обл., 37300 (ВАТ "АТП-15337", актова зала);Середня;33.976921,50.377587
