Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
530046; м.Гадяч – вул.Білохи: 1–31, 33, 35, 37, 39–39А, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75–75А, 77, 79, 81, 83–83А, 85, 87., вул.Калініна, вул.Кобилянської, вул.Ломоносова, вул.Набережна Груні: 66, 69–169., вул.Свердлова, вул.Тітова, вул.Щорса, пров.Гайдара, пров.Котовського, пров.Свердлова, пров.Тітова, пров.Щорса, пров.1-й Грунський, пров.2-й Грунський, пров.3-й Грунський; вул.Героїв Майдану, 5, м.Гадяч, Полтавська обл., 37300 (територіальний центр соціального обслуговування, актова зала);Середня;33.984222,50.379425
530047; м.Гадяч – вул.Вокзальна, вул.Героїв Майдану, вул.Енгельса, вул.Засядька, вул.Кіндратенка: 25–25А, 27, 29, 31, 33, 35, 37, 39–129., вул.Котляревського, вул.Ляскіна, вул.Мічуріна, вул.Паризької Комуни, вул.Толстого, вул.Франка, пров.Дальній, пров.Дачний, пров.Енгельса, пров.Залізничний, пров.Русанівський, пров.Хмельницького; вул.Вокзальна, 1, м.Гадяч, Полтавська обл., 37300 (районна спілка споживчих товариств, актова зала);Середня;33.978879,50.385976
530048; с.Березова Лука, с.Лихопілля, с.Мелешки; вул.Гагаріна, 4А, с.Березова Лука, Гадяцький р-н, Полтавська обл., 37342 (школа, хол);Середня;33.724647,50.273911
530049; с.Біленченківка, с.Оріханове, с.Островерхівка, с.Писарівщина, с.Степаненки; пл.40-річчя Перемоги, 3, с.Біленченківка, Гадяцький р-н, Полтавська обл., 37306 (школа, хол);Середня;33.924290,50.363395
530050; с.Грипаки, с.Кіблицьке, с.Осняги, с.Петроселівка, с.Рудиків; вул.ім.Комарова, 38, с.Осняги, Гадяцький р-н, Полтавська обл., 37306 (школа, хол);мала;33.845527,50.371422
530051; с.Бобрик, с.Педоричі; вул.Центральна, 50, с.Бобрик, Гадяцький р-н, Полтавська обл., 37360 (Бобрицька сільська рада, зал засідань);Середня;34.245853,50.417376
530052; с.Великі Будища; вул.Миру, 32, с.Великі Будища, Гадяцький р-н, Полтавська обл., 37320 (школа, спортивний зал);Середня;34.143969,50.462780
530053; с.Вельбівка, с.Запсільське; вул.Шкільна, 1, с.Вельбівка, Гадяцький р-н, Полтавська обл., 37350 (школа, хол);Середня;34.045920,50.337349
530054; с.Тепле, с.Тютюрівщина; вул.Зарічна, 15, с.Тепле, Гадяцький р-н, Полтавська обл., 37351 (приміщення колишньої школи, класна кімната);мала;34.167224,50.323873
530055; с.Веприк; вул.Васюти, 57, с.Веприк, Гадяцький р-н, Полтавська обл., 37362 (школа, актова зала);Велика;34.174055,50.371215
530056; с.Гречанівка, с.Зелена Балка, с.Миколаївка, с.Тригубщина; вул.Сумська, 31, с.Гречанівка, Гадяцький р-н, Полтавська обл., 37310 (школа, класна кімната);мала;33.901172,50.508243
530057; с.Качанове, с.Новоселівка, с.Дачне, с.Вирішальне, с.Степове; вул.Клубна, 2, с.Качанове, Гадяцький р-н, Полтавська обл., 37331 (школа, спортивний зал);Середня;33.640362,50.431997
530058; с.Красна Лука, с.Бухалове; вул.Миру, 26, с.Красна Лука, Гадяцький р-н, Полтавська обл., 37315 (сільський будинок культури, фойє);Середня;33.985366,50.429000
530059; с.Хитці; вул.Незалежності, 2, с.Хитці, Гадяцький р-н, Полтавська обл., 37371 (школа, фойє);мала;33.999363,50.402708
530060; с.Сергіївка; пров.Шкільний, 3, с.Сергіївка, Гадяцький р-н, Полтавська обл., 37332 (школа, спортивний зал);Середня;33.755788,50.399885
530061; с.Вечірчине, с.Калинівщина, с.Лободине, с.Чернече; вул.Шкільна, 12, с.Лободине, Гадяцький р-н, Полтавська обл., 37332 (контора СТОВ "Лободіно", зал засідань);мала;33.839124,50.412236
530062; с.Книшівка, с.Дучинці; вул.Шкільна, 10, с.Книшівка, Гадяцький р-н, Полтавська обл., 37322 (школа, спортивний зал);Середня;34.128376,50.404952
530063; с.Броварки; вул.Мостова, 11, с.Броварки, Гадяцький р-н, Полтавська обл., 37324 (сільський клуб, зал);мала;34.060869,50.397233
530064; с.Лисівка, с.Глибоке, с.Кругле Озеро, с.Солдатове; вул.Дружби, 44, с.Лисівка, Гадяцький р-н, Полтавська обл., 37344 (фельдшерсько-акушерський пункт, хол);мала;33.934755,50.173244
530065; с.Млини; вул.Набережна, 1, с.Млини, Гадяцький р-н, Полтавська обл., 37344 (сільський клуб, зал);мала;33.948720,50.200233
530066; с.Мала Обухівка, с.Перевіз; вул.Центральна, 49, с.Мала Обухівка, Гадяцький р-н, Полтавська обл., 37344 (фельдшерсько-акушерський пункт, хол);мала;33.957643,50.159803
530067; с.Лютенька – вул.Ватутіна, вул.Ветеранів, вул.Гагаріна, вул.Гончарева, вул.Дружби, вул.Зарецького, вул.Засядька, вул.Ковпака, вул.Леоніда Думенка: 1–6., вул.Лугова, вул.Миколи Хоменка, вул.М.Л. Величая, вул.Молодіжна, вул.Ольги Кобилянської, вул.Рождественського, вул.Соснова, вул.Шевченка, вул.373 стрілецької дивізії, пров.Вузький, пров.Глиняний, пров.Глібова, пров.Гончаревий, пров.Довгий, пров.Дружби, пров.Зарецького, пров.Ковпака, пров.Мирний, пров.Низовий, пров.Піщаний, пров.Польовий, пров.Рождественського, пров.Сосновий, пров.Шевченка, пров.Ярмарковий, пров.373 стрілецької дивізії №1, пров.373 стрілецької дивізії №2, с.Юр’ївка; вул.Дружби, 59, с.Лютенька, Гадяцький р-н, Полтавська обл., 37353 (сільський будинок культури, фойє);Середня;34.046298,50.240576
530068; с.Лютенька – вул.Бойкова, вул.Будівельна, вул.Генерала Латишева, вул.Генерала Сазонова, вул.Гришкова, вул.Давидкова, вул.Захисників України, вул.Зої Космодем’янської, вул.Капітана Печонкіна, вул.Короленка, вул.Котляревського, вул.Леоніда Думенка: 8–93., вул.Лесі Українки, вул.Матросова, вул.Мисливська, вул.Павловського іконописця, вул.Підлужська, вул.Полковника Бондаренка, вул.Пушкіна, вул.Стовбунівська, вул.Трилева, вул.Широка, пров.Бойковий, пров.Генерала Латишева №1, пров.Генерала Латишева №2, пров.Гришковий, пров.Капітана Печонкіна, пров.Короленка, пров.Леоніда Думенка №1, пров.Леоніда Думенка №2, пров.Павловського іконописця, пров.Полковника Бондаренка, пров.Садовий, пров.Сазонова, пров.Трилевий, пров.Широкий; вул.Дружби, 61, с.Лютенька, Гадяцький р-н, Полтавська обл., 37353 (школа, фойє);Середня;34.028995,50.199303
530069; с.Глибока Долина, с.Мала Побиванка, с.Пирятинщина; вул.Роменська, 27, с.Мала Побиванка, Гадяцький р-н, Полтавська обл., 37311 (сільський будинок культури, фойє);мала;33.861399,50.456564
530070; с.Мартинівка, с.Велике, с.Воронівщина, с.Могилатів, с.Морозівщина, с.Шадурка; пл.Перемоги, 3, с.Мартинівка, Гадяцький р-н, Полтавська обл., 37361 (сільський будинок культури, фойє, 2-й поверх);Середня;34.329024,50.370446
530071; с.Петрівка-Роменська – вул.Вишнева: 1–28., вул.Гагаріна, вул.Геологічна, вул.Гоголя, вул.Качанівська, вул.Ковпака, вул.Комуністична, вул.Космонавтів, вул.Кутузова, вул.Лесі Українки, вул.Нафтовиків, вул.Підгорянська, вул.Покровська: 18–104., вул.Садова, вул.Топольки, вул.Яблунева, пров.Гагаріна, с.Венеславівка; вул.Покровська, 17, с.Петрівка-Роменська, Гадяцький р-н, Полтавська обл., 37333 (школа, хол);Середня;33.736713,50.369981
530072; с.Петрівка-Роменська – вул.Бузкова, вул.Ватутіна, вул.Весняна, вул.Виноградна, вул.Вишнева: 30–36., вул.Вознесінська, вул.Дружби народів, вул.Загребельська, вул.З.Космодем’янської, вул.Калинова, вул.Котляревського, вул.Лугова, вул.Миргородська, вул.Миру, вул.Молодіжна, вул.Набережна Хорола, вул.О.Кошового, вул.О.Матросова, вул.Першотравнева, вул.Пігіди, вул.Покровська: 1–16А., вул.Привокзальна, вул.Соборна, вул.Ступківська, вул.Шевченка, вул.Шкільна, пров.Першотравневий, пров.Покровський, с.Балясне; вул.Соборна, 6, с.Петрівка-Роменська, Гадяцький р-н, Полтавська обл., 37333 (сільський будинок культури, глядацький зал);Середня;33.739266,50.350698
530073; с.Плішивець, с.Бакути, с.Тимофіївка; вул.Соборна, 33, с.Плішивець, Гадяцький р-н, Полтавська обл., 37323 (школа, хол);Середня;34.205787,50.446493
530074; с.Рашівка, с.Новий Виселок; вул.Миру, 67А, с.Рашівка, Гадяцький р-н, Полтавська обл., 37343 (сільський будинок культури, фойє);Середня;33.881539,50.213110
530075; с.Римарівка, с.Змажине, с.Максимівка, с.Цимбалове; вул.Соборна, 63, с.Римарівка, Гадяцький р-н, Полтавська обл., 37314 (школа, фойє);Середня;33.977739,50.448490
530076; с.Розбишівка, с.Веселе, с.Крамарщина; вул.Центральна, 21, с.Розбишівка, Гадяцький р-н, Полтавська обл., 37330 (школа, фойє);Середня;33.717920,50.450688
530077; с.Ручки; вул.Т.Шевченка, 27, с.Ручки, Гадяцький р-н, Полтавська обл., 37336 (сільський будинок культури, фойє);Середня;33.737574,50.322663
530078; с.Сари – вул.Вишнева, вул.Гагаріна, вул.Генерала Ковальова, вул.Гетьманська: 16–55., вул.Гориста, вул.Дружби, вул.Зелена, вул.Клубна, вул.Корзуна, вул.Котляревського, вул.Миколаївська, вул.Мічуріна: 2, 4, 8, 10–12, 14–18А, 22–26, 30–32, 34–38, 44, 46, 60–62., вул.Набережна Псла, вул.Річкова, вул.Селянська, вул.Франка, вул.Центральна: 31–131., вул.Чайковського, вул.Чкалова, вул.Шкільна, пл.Центральна, пров.Вишневий, пров.Гагаріна, пров.Гористий, пров.Дружби, пров.ІІ-й Луговий, пров.ІІ-й Миколаївський, пров.ІІ-й Мічуріна, пров.ІІ-й Шкільний, пров.І-й Гагаріна, пров.І-й Луговий, пров.І-й Миколаївський, пров.І-й Мічуріна, пров.І-й Франка, пров.І-й Шкільний, пров.Калініна, пров.Клубний, пров.Корзуна, пров.Котляревського, пров.Річковий, пров.Франка, пров.Чкалова, с.Саранчова Долина; пл.Центральна, 9, с.Сари, Гадяцький р-н, Полтавська обл., 37340 (сільський будинок культури, фойє);Середня;33.926546,50.308230
530079; с.Сари – вул.Гетьманська: 1–15/4., вул.Козацька, вул.Лісова, вул.Лугова, вул.Мічуріна: 3, 7, 9, 13, 19–21, 27, 33, 39–43, 45, 47–53., вул.Огородня, вул.Покровська, вул.Польова, вул.Садова, вул.Сковороди, вул.Центральна: 1–29., вул.Шевченка, пл.Покровська, пров.ІІ-й Гетьманський, пров.ІІ-й Покровський, пров.ІІ-й Садовий, пров.І-й Гетьманський, пров.І-й Покровський, пров.І-й Садовий, пров.Лісовий, пров.Центральний, с.Донцівщина, с.Київське, с.Червоний Кут; вул.Покровська, 32, с.Сари, Гадяцький р-н, Полтавська обл., 37340 (сільський клуб, зал);Середня;33.932002,50.326009
530080; с.Малі Будища; пров.Шкільний, 5, с.Малі Будища, Гадяцький р-н, Полтавська обл., 37340 (сільський клуб, зал);мала;34.022247,50.321106
530081; с.Сватки, с.Берізки, с.Шевченкове; вул.Т.Шевченка, 55, с.Сватки, Гадяцький р-н, Полтавська обл., 37312 (сільський будинок культури, зал);Середня;34.010112,50.483714
530082; с.Бірки; вул.Лесі Українки, 19, с.Бірки, Гадяцький р-н, Полтавська обл., 37313 (школа, хол);мала;34.043588,50.501065
530083; с.Середняки; вул.Шляхова, 64, с.Середняки, Гадяцький р-н, Полтавська обл., 37334 (Середняківська сільська рада, актова зала);мала;33.651505,50.353431
530084; с.Ветхалівка, с.Коновалове; вул.Перемоги, 34, с.Коновалове, Гадяцький р-н, Полтавська обл., 37334 (сільський клуб, фойє);мала;33.614668,50.354629
530085; с.Соснівка; вул.Миру, 107, с.Соснівка, Гадяцький р-н, Полтавська обл., 37352 (школа, спортивний зал);Середня;34.013022,50.294117
530086; с.Харківці; вул.Молодіжна, 3, с.Харківці, Гадяцький р-н, Полтавська обл., 37341 (сільський будинок культури, фойє);мала;33.853747,50.285622
530087; с.Бутовичеське, с.Кияшківське, с.Круглик; вул.Гагаріна, 4А, с.Круглик, Гадяцький р-н, Полтавська обл., 37341 (приміщення колишньої школи, класна кімната);мала;33.809043,50.307059
530088; с.Ціпки; вул.Ватутіна, 6, с.Ціпки, Гадяцький р-н, Полтавська обл., 37321 (школа, спортивний зал);мала;34.063114,50.452996
530146; м.Гребінка – вул.Гагаріна, вул.Городищенська, вул.Маяковського, вул.Панаса Мирного, вул.Рильського, вул.Сковороди, вул.Чернишевського, пров.Маяковського, пров.Оржицький; вул.Городищенська, 1, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (школа №2, коридор);Середня;32.419396,50.111249
530147; м.Гребінка – вул.І. Мотуза, вул.Історична, вул.Магістральна: 1–38, 56, 66, 68–70, 74–82А., вул.Свободи, вул.Ярослава Мудрого, пров.Братів Кулаксузян, пров.Водопровідний, пров.Макаренка, пров.Свободи, пров.Шкільний; вул.Ярослава Мудрого, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (будинок школяра, актова зала);Середня;32.427644,50.119639
530148; м.Гребінка – вул.Гоголя, вул.Євгена Гребінки, вул.Миру: 1–30, 32., вул.Полтавська, вул.Раїси Кириченко, вул.1-го Травня, пров.Герцена, пров.Гоголя, пров.Євгена Гребінки, пров.Олексія Припутня, пров.1-го Травня; вул.Євгена Гребінки, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (будинок культури, фойє);Середня;32.437493,50.116744
530149; м.Гребінка – вул.З. Космодем’янської, вул.Зарічна, вул.Затишна, вул.І. Франка, вул.Короленка, вул.Кутузова, вул.Л. Чайкіної, вул.Лесі Українки, вул.Мічуріна, вул.Некрасова, вул.Пушкіна, вул.Українська, вул.Чехова, пров.Грабовського, пров.Кошового, пров.Мирний, пров.Сільськогосподарський, пров.Суворова; пров.Спортивний, 2А, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (спортивний комплекс, фойє);Середня;32.440506,50.114976
530150; м.Гребінка – вул.Ватутіна, вул.Залізнична, вул.Зелена, вул.Матросова, вул.Миру: 31, 33–67., вул.Павлова; вул.Незалежності, 11, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (11 дистанція сигналізації та зв’язку, зал засідань);Середня;32.443770,50.116061
530151; м.Гребінка – вул.Незалежності, пров.Пирятинський, пров.Спортивний; вул.Магістральна, 118, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (гімназія №3, фойє);Середня;32.441288,50.118732
530152; м.Гребінка – вул.Героїв України, вул.Кагамлика, вул.Магістральна: 51–55, 57–65, 67, 73, 106–148., вул.Чкалова, пров.Піонерський; вул.Магістральна, 120, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (школа №4, актова зала);Середня;32.442565,50.118670
530153; м.Гребінка – вул.Б. Хмельницького, вул.Весняна, вул.Вокзальна, вул.Козацька, вул.Котляревського, вул.Купріянівська, вул.Лермонтова, вул.Ломоносова, вул.Молодіжна, вул.Перемоги, вул.Польова, вул.Садова, вул.Шевченка, вул.Шмідта, пров.Вокзальний; вул.Шевченка, 1, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (пасажирське вагонне депо, червоний куточок);Середня;32.440056,50.121504
530154; м.Гребінка – вул.Горького, вул.Деповська, вул.Квіткова, вул.Коцюбинського, вул.Локомотивна, вул.Паркова, вул.Патріотів, заїзд Електропідстанція; вул.Локомотивна, 2, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400 (будинок культури локомотивного депо, фойє);Середня;32.461038,50.118683
530155; с.Березівка; вул.Перемоги, 28, с.Березівка, Гребінківський р-н, Полтавська обл., 37441 (сільська рада, зал засідань);мала;32.460595,50.073604
530156; с.Корніївка; вул.Перемоги, 91, с.Корніївка, Гребінківський р-н, Полтавська обл., 37441 (дитячий садок, ігрова кімната);мала;32.444391,50.091976
530157; с.Григорівка, с.Писарщина; вул.Миру, 66А, с.Григорівка, Гребінківський р-н, Полтавська обл., 37450 (Приміщення приватного підприємця Думнич М.М., кімната 2);мала;32.402256,50.023136
530158; с.Короваї, с.Лутайка; вул.Перемоги, 32, с.Короваї, Гребінківський р-н, Полтавська обл., 37430 (Сільський будинок культури, танцювальний зал);Середня;32.344957,50.152012
530159; с.Кулажинці; вул.Шкільна, 15А, с.Кулажинці, Гребінківський р-н, Полтавська обл., 37431 (будинок культури, каб. директора, к.1);мала;32.265539,50.197990
530160; с.Майорщина; вул.Козацька, 1В, с.Майорщина, Гребінківський р-н, Полтавська обл., 37420 (школа, фойє);Середня;32.418642,50.196375
530161; с.Сліпорід-Іванівка; вул.Шевченка, 130, с.Сліпорід-Іванівка, Гребінківський р-н, Полтавська обл., 37421 (школа, фойє);мала;32.384315,50.207113
530162; с.Мар’янівка, с.Новодар; вул.Миру, 24А, с.Мар’янівка, Гребінківський р-н, Полтавська обл., 37412 (сільський клуб, фойє);мала;32.282802,50.159023
530163; с.Наталівка, с.Олексіївка; вул.Броваря, 81, с.Олексіївка, Гребінківський р-н, Полтавська обл., 37411 (будинок культури, танцювальна зала);мала;32.206145,50.227499
530164; с.Овсюки; вул.Миру, 47, с.Овсюки, Гребінківський р-н, Полтавська обл., 37460 (Сільський будинок культури, актова зала);Середня;32.497604,50.017304
530165; с.Покровщина; вул.Свободи, 27, с.Покровщина, Гребінківський р-н, Полтавська обл., 37460 (сільський клуб, актова зала);мала;32.444264,50.067615
530166; с.Олександрівка, с.Високе, с.Осавульщина, с.Павлівщина, с.Сімаки; вул.Свободи, 39, с.Олександрівка, Гребінківський р-н, Полтавська обл., 37440 (школа, клас-музей);Середня;32.601864,50.108422
530167; с.Рудка, с.Горби; вул.Миру, 128, с.Рудка, Гребінківський р-н, Полтавська обл., 37461 (сільський будинок культури, концертний зал);Середня;32.531141,50.007392
530168; с.Сербинівка, с.Грушківка, с.Саївка; вул.Миру, 24, с.Сербинівка, Гребінківський р-н, Полтавська обл., 37433 (школа, фойє);Середня;32.281310,50.099905
530169; с.Слободо-Петрівка, с.Гулаківка, с.Загребелля, с.Оржиця, с.Польове; вул.Перемоги, 85А, с.Слободо-Петрівка, Гребінківський р-н, Полтавська обл., 37432 (школа, спортивний зал);Середня;32.390407,50.118744
530171; с.Стукалівка, с.Михайлівка; вул.Центральна, 18А, с.Стукалівка, Гребінківський р-н, Полтавська обл., 37451 (будинок культури, фойє) / вул.Миру, 16, с.Стукалівка, Гребінківський р-н, Полтавська обл., 37451;мала;32.429347,49.987987
530172; с.Тарасівка; вул.Центральна, 1Б, с.Тарасівка, Гребінківський р-н, Полтавська обл., 37422 (будинок культури, фойє);Середня;32.502586,50.187894
530173; с.Тополеве, с.Відрадне, с.Світанок; вул.Тімірязєва, 39, с.Тополеве, Гребінківський р-н, Полтавська обл., 37400 (Тополівська сільська рада, депутатська кімната);Середня;32.485750,50.127040
530175; с.Почаївка, с.Бесідівщина, с.Скочак; вул.Лесі Українки, 29, с.Почаївка, Гребінківський р-н, Полтавська обл., 37423 (будинок культури, мала актова зала);Середня;32.557279,50.130826
530176; с.Сотницьке, с.Новоселівка; вул.Центральна, 32, с.Сотницьке, Гребінківський р-н, Полтавська обл., 37423 (сільський клуб, актова зала);мала;32.535334,50.161142
530417; м.Лохвиця – вул.Богдана Хмельницького, вул.Бурмистенка, вул.Гагаріна, вул.Гресівка, вул.Зоряна, вул.Калинова, вул.Котляревського, вул.Лугова, вул.Миколаївська, вул.Українська, вул.Шевченка: 67, 69, 71–166., пров.Богдана Хмельницького, пров.Калиновий, пров.Котляревського, пров.Лесі Українки; вул.Шевченка, 108, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200 (Лохвицький райавтодор, актовий зал);Середня;33.242369,50.353223
530418; м.Лохвиця – вул.Ватутіна, вул.Зої Космодем’янської, вул.Корольова, вул.Космонавтів, вул.Матросова, вул.Незалежності, вул.Озерна, вул.Пушкіна, вул.Рикова, вул.Сенчанська, вул.Тупікова, вул.Федоряки, вул.Ювілейна, вул.Юрія Горобця, вул.Якубовського, пров.ІІ-й Пушкіна, пров.І-й Пушкіна, пров.Космонавтів, пров.Пушкіна, пров.Якубовського; вул.Незалежності, 10, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200 (гімназія №1, вестибюль);Велика;33.275180,50.347549
530419; м.Лохвиця – вул.Берегова, вул.Героїв України: 1Б–45., вул.Гоголя, вул.Кирпоноса, вул.Лесі Українки, вул.Набережна, вул.Олега Коваленка, вул.Петра Калнишевського, вул.Преображенська, вул.Сковороди, вул.Спаська, вул.Сулицька, вул.Тесленка, вул.Шевченка: 2А–66, 68, 70–70А., пров.Береговий, пров.Героїв України, пров.Сковороди, пров.Тесленка, пров.Шевченка; вул.Перемоги, 2, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200 (районний будинок культури, фойє);Велика;33.272778,50.360972
530420; м.Лохвиця – вул.Виноградна, вул.Газети ’Зоря’, вул.Горького, вул.Квартал Передрія, вул.Комарова, вул.Коцюбинського, вул.Луценка, вул.Марінеско, вул.Маяковського, вул.Молодіжна, вул.Партизанська, вул.Перемоги, вул.Першого Травня, вул.Покровська, вул.Приліпіна, вул.Садова, вул.Світанкова, вул.Слобідська, вул.Соколовського, вул.Урожайна, вул.Червона, вул.Чкалова, вул.Шкільна, вул.8 Березня, пров.Перемоги, пров.Покровський, пров.Світанковий, пров.Соколовського, пров.Урожайний; вул.Шкільна, 8, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200 (школа № 2, вестибюль);Велика;33.269006,50.369959
530421; м.Лохвиця – вул.Вишнева, вул.Героїв України: 49–96., вул.Дружби, вул.Дунаєвського, вул.Затишна, вул.Зелена, вул.Квартал Мічурінський, вул.Козацька, вул.Лисенка, вул.Лохвицька, вул.Миколи Денисенка, вул.Мічурінська, вул.Польова, вул.Східна, пров.Вишневий; вул.Героїв України, 49, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200 (ПТУ № 27, вестибюль);Середня;33.284540,50.361984
530422; с.Криниця; вул.Бурмистенка, 4, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200 (приміщення ТОВ "Редіанс", кабінет);мала;33.232798,50.329811
