Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
260106; с.Бринь; вул.Галицька, 69, с.Бринь, Галицький р-н, Івано-Франківська обл., 77165 (сільський клуб, актовий зал) / вул.Галицька, 71, с.Бринь, Галицький р-н, Івано-Франківська обл., 77165;Середня;24.573375,49.046421
260107; с.Височанка; вул.Семена Височана, 67, с.Височанка, Галицький р-н, Івано-Франківська обл., 77166 (школа, приміщення початкових класів);мала;24.581768,49.017060
260108; с.Вікторів – вул.Федика: 1–319, 618–711.,; вул.Федика, с.Вікторів, Галицький р-н, Івано-Франківська обл., 77166 (школа, спортивний зал);Середня;24.649488,49.062033
260109; с.Вікторів – вул.Федика: 320–617.,; вул.Федика, школа, с.Вікторів, Галицький р-н, Івано-Франківська обл., 77166 (школа, спортивний зал);Середня;24.613809,49.045164
260130; с.Комарів, с.Сокіл; вул.Ворони, 217В, с.Комарів, Галицький р-н, Івано-Франківська обл., 77164 (школа, спортивний зал);Середня;24.645232,49.072426
260133; с.Крилос; вул.Тараса Шевченка, 15А, с.Крилос, Галицький р-н, Івано-Франківська обл., 77162 (будинок культури, зал);Середня;24.688884,49.085891
260140; с.Мединя; вул.Чорновола, 32, с.Мединя, Галицький р-н, Івано-Франківська обл., 77163 (Народний дім, актовий зал);Середня;24.575244,49.092693
260154; с.Сапогів; вул.Центральна, 110А, с.Сапогів, Галицький р-н, Івано-Франківська обл., 77165 (сільський клуб, актовий зал);мала;24.603324,49.051918
260276; с.Боднарів; вул.Тараса Шевченка, 6, с.Боднарів, Калуський р-н, Івано-Франківська обл., 77350 (народний дім, актова зала);Велика;24.533581,49.029305
260277; с.Верхня, с.Іванкова; вул.Тараса Шевченка, 92, с.Верхня, Калуський р-н, Івано-Франківська обл., 77324 (народний дім, фойє) / вул.Тараса Шевченка, 72, с.Верхня, Калуський р-н, Івано-Франківська обл., 77324;Велика;24.300342,49.098500
260278; с.Вістова; вул.Тараса Шевченка, 43, с.Вістова, Калуський р-н, Івано-Франківська обл., 77351 (народний дім, актова зала);Середня;24.474567,49.025242
260279; с.Бабин-Зарічний; вул.Тараса Шевченка, 62, с.Бабин-Зарічний, Калуський р-н, Івано-Франківська обл., 77351 (народний дім, актова зала);мала;24.509865,49.046010
260280; смт Войнилів; вул.Тараса Шевченка, 127, смт Войнилів, Калуський р-н, Івано-Франківська обл., 77312 (народний дім, фойє);Велика;24.493076,49.128087
260281; с.Довпотів; вул.Василя Стефаника, 11, с.Довпотів, Калуський р-н, Івано-Франківська обл., 77315 (школа, актова зала);Середня;24.440119,49.096237
260282; с.Середня; вул.40 років Перемоги, 36, с.Середня, Калуський р-н, Івано-Франківська обл., 77312 (народний дім, глядацька зала);мала;24.514558,49.146966
260283; с.Дубовиця; вул.Гаврилюка, 15, с.Дубовиця, Калуський р-н, Івано-Франківська обл., 77312 (народний дім, зала для виступів);мала;24.478225,49.158559
260284; с.Голинь – вул.Богачевського, вул.Василя Стуса, вул.Вороного, вул.Героїв України, вул.Грильовського, вул.Залізнична, вул.Заньковецької, вул.Зарічна, вул.Івана Франка, вул.Коновальця: 13, 15, 17, 19, 21, 23, 25, 27, 29–105., вул.Марка Вовчка, вул.Незалежності, вул.Романа Шухевича, вул.Сагайдачного, вул.Сівецька, вул.Січових Стрільців, вул.Сосюри, вул.Стебельських, вул.Степана Бандери, вул.Тараса Шевченка, вул.Чорновола, вул.Чумака, вул.Ярослава Мудрого; вул.Коновальця, 13, с.Голинь, Калуський р-н, Івано-Франківська обл., 77343 (школа, актова зала);Велика;24.249739,49.008016
260285; с.Голинь – вул.Бережницького, вул.Богдана Хмельницького, вул.Гнатюка, вул.Грінченка, вул.Зелена, вул.Івана Мазепи, вул.Івасюка, вул.Коновальця: 1–12, 14, 16, 18, 20, 22, 24, 26, 28., вул.Лесі Українки, вул.Матківської, вул.Михайла Грушевського, вул.Михайла Коцюбинського, вул.Молодіжна, вул.Назарія Яремчука, вул.Пам’яті, вул.Панаса Мирного, вул.Петлюри, вул.Просвіти, вул.Роксолани, вул.Середня, вул.Учительська, вул.Церковна, вул.600-річчя Голиня; вул.600-річчя Голиня, 18, Калуський р-н, Івано-Франківська обл., 77343 (народний дім, актова зала);Велика;24.265257,49.004153
260286; с.Добровляни; вул.Степана Бандери, 16, с.Добровляни, Калуський р-н, Івано-Франківська обл., 77361 (народний дім, зала для виступів);Середня;24.352494,48.988468
260287; с.Довгий Войнилів; вул.Тараса Шевченка, 56А, с.Довгий Войнилів, Калуський р-н, Івано-Франківська обл., 77320 (школа, актова зала) / вул.Тараса Шевченка, 60, с.Довгий Войнилів, Калуський р-н, Івано-Франківська обл., 77320;Середня;24.373013,49.155117
260288; с.Завадка, с.Болохів; вул.Івана Франка, 76А, с.Завадка, Калуський р-н, Івано-Франківська обл., 77323 (народний дім, фойє);Середня;24.239396,49.098501
