Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
260289; с.Степанівка; вул.Івана Франка, 1А, с.Степанівка, Калуський р-н, Івано-Франківська обл., 77323 (народний дім, глядацька зала);мала;24.246115,49.071099
260290; с.Завій; вул.Данила Галицького, 305А, с.Завій, Калуський р-н, Івано-Франківська обл., 77356 (народний дім, актова зала) / вул.Данила Галицького, 305, с.Завій, Калуський р-н, Івано-Франківська обл., 77356;Середня;24.420760,48.939364
260291; с.Грабівка; вул.Тараса Шевченка, 111, с.Грабівка, Калуський р-н, Івано-Франківська обл., 77357 (школа, спортивний зал);Середня;24.385283,48.894703
260292; с.Збора; вул.Молодіжна, 48, с.Збора, Калуський р-н, Івано-Франківська обл., 77322 (народний дім, зала для виступів);Середня;24.257097,49.119617
260293; с.Кулинка; вул.Зелена, 15А, с.Кулинка, Калуський р-н, Івано-Франківська обл., 77322 (народний дім, кімната завідувача народним домом);мала;24.242969,49.144597
260294; с.Кадобна; вул.Івана Франка, 78, с.Кадобна, Калуський р-н, Івано-Франківська обл., 77341 (народний дім, актова зала);Середня;24.213213,49.036614
260295; с.Копанки; вул.Степана Бандери, 5, корп.А, с.Копанки, Калуський р-н, Івано-Франківська обл., 77341 (школа, спортивний зал);Велика;24.391101,49.080962
260296; с.Кропивник; вул.Івана Франка, 159, с.Кропивник, Калуський р-н, Івано-Франківська обл., 77340 (народний дім, актова зала);Велика;24.268304,49.036547
260297; с.Лука; вул.Михайла Грушевського, 79, с.Лука, Калуський р-н, Івано-Франківська обл., 77310 (народний дім, актова зала);мала;24.500628,49.211931
260298; с.Діброва; вул.Безруких, 29, с.Діброва, Калуський р-н, Івано-Франківська обл., 77310 (народний дім, актова зала);мала;24.459172,49.221205
260299; с.Цвітова; вул.Тараса Шевченка, 26, с.Цвітова, Калуський р-н, Івано-Франківська обл., 77310 (школа, фойє);мала;24.450503,49.189625
260300; с.Мостище; вул.Робітнича, 14, с.Мостище, Калуський р-н, Івано-Франківська обл., 77331 (народний дім, актова зала);Середня;24.342229,49.067510
260301; с.Негівці; вул.Підгірна, 65, с.Негівці, Калуський р-н, Івано-Франківська обл., 77325 (школа, актовий зал) / вул.Тарантюка, 1, с.Негівці, Калуський р-н, Івано-Франківська обл., 77325;Середня;24.372747,49.128184
260302; с.Гуменів; вул.Чорновола, 99, с.Гуменів, Калуський р-н, Івано-Франківська обл., 77326 (народний дім, актова зала);мала;24.343576,49.115806
260303; с.Новиця – вул.Богдана Хмельницького, вул.Весняна, вул.Винниченка, вул.Виробнича, вул.Вишнева, вул.Вітовського, вул.Зелена, вул.Івана Мазепи, вул.Івана Франка, вул.Івасюка, вул.Лесі Українки, вул.Мартовича, вул.Миру, вул.Михайла Грушевського, вул.Михайла Коцюбинського, вул.Молодіжна, вул.Незалежності, вул.Підмарійка, вул.Тараса Шевченка: 1–65, 67, 69, 71, 73, 75, 77, 79, 81, 83.,; вул.Тараса Шевченка, 64, с.Новиця, Калуський р-н, Івано-Франківська обл., 77360 (навчально-виховний комплекс, їдальня);Середня;24.335395,48.962654
260304; с.Новиця – вул.Василя Стефаника, вул.Василя Стуса, вул.Весела, вул.Глібова, вул.Довбуша, вул.Єсеніна, вул.Карпатська, вул.Козацька, вул.Комарова, вул.Марка Черемшини, вул.Ольги Кобилянської, вул.Петрушевича, вул.Прикарпатська, вул.Січових Стрільців, вул.Тараса Шевченка: 66, 68, 70, 72, 74, 76, 78, 80, 82, 84–113., вул.Церковна, вул.Ялинка, с.Зелений Яр; вул.Тараса Шевченка, 75А, с.Новиця, Калуський р-н, Івано-Франківська обл., 77360 (народний дім, малий зал);Середня;24.333913,48.958420
260305; с.Перевозець; вул.Незалежності, 7, с.Перевозець, Калуський р-н, Івано-Франківська обл., 77332 (сільська рада, актова зала);Середня;24.539671,49.078526
260306; с.Кудлатівка; вул.Лесі Українки, 3А, с.Кудлатівка, Калуський р-н, Івано-Франківська обл., 77332 (школа, класна кімната);мала;24.505295,49.076760
260307; с.Павликівка; вул.Миру, 18Б, с.Павликівка, Калуський р-н, Івано-Франківська обл., 77332 (народний дім, актова зала);мала;24.515899,49.104574
260308; с.Слобідка; вул.Тараса Шевченка, 6, с.Слобідка, Калуський р-н, Івано-Франківська обл., 77333 (фельдшерсько-акушерський пункт, каб.2);мала;24.503751,49.081497
260309; с.Підмихайля; вул.Скородинського, 142, корп.А, с.Підмихайля, Калуський р-н, Івано-Франківська обл., 77352 (народний дім, фойє);Велика;24.386522,48.990213
260310; с.Бережниця; вул.Лисенка, 3, с.Бережниця, Калуський р-н, Івано-Франківська обл., 77353 (будинок культури, зал);Середня;24.383369,48.964573
260311; с.Пійло; вул.Михайла Грушевського, 76, с.Пійло, Калуський р-н, Івано-Франківська обл., 77344 (школа, їдальня);Велика;24.295406,49.001980
260312; с.Довге-Калуське; вул.Лесі Українки, 95, с.Довге-Калуське, Калуський р-н, Івано-Франківська обл., 77345 (народний дім, актова зала);Середня;24.305129,48.991338
260313; с.Ріп’янка; вул.Івана Франка, 9, с.Ріп’янка, Калуський р-н, Івано-Франківська обл., 77354 (народний дім, актова зала);Середня;24.486113,49.000103
260314; с.Мислів; вул.Степана Бандери, 10А, с.Мислів, Калуський р-н, Івано-Франківська обл., 77355 (народний дім, актова зала);Середня;24.497156,49.004779
260315; с.Яворівка; вул.Лесі Українки, 47А, с.Яворівка, Калуський р-н, Івано-Франківська обл., 77354 (народний дім, актова зала);мала;24.445057,48.969055
260316; с.Середній Угринів; вул.Тараса Шевченка, 123, с.Середній Угринів, Калуський р-н, Івано-Франківська обл., 77363 (народний дім, актова зала);Середня;24.357026,48.925694
260317; с.Старий Угринів; вул.Саєвича, 4, с.Старий Угринів, Калуський р-н, Івано-Франківська обл., 77362 (народний дім, актова зала);Середня;24.368281,48.952793
260318; с.Сівка-Войнилівська; вул.Центральна, 65А, с.Сівка-Войнилівська, Калуський р-н, Івано-Франківська обл., 77311 (народний дім, кімната урочистих подій);мала;24.542880,49.195181
260319; с.Довжка; вул.Миру, 15А, с.Довжка, Калуський р-н, Івано-Франківська обл., 77311 (народний дім, актова зала);мала;24.492778,49.176094
260320; с.Мошківці; вул.Братів Косарів, 32А, с.Мошківці, Калуський р-н, Івано-Франківська обл., 77311 (народний дім, актова зала);мала;24.550338,49.190455
260321; с.Сівка-Калуська; вул.Івана Франка, 49, с.Сівка-Калуська, Калуський р-н, Івано-Франківська обл., 77342 (народний дім, актова зала);Середня;24.292001,49.032431
260322; с.Станькова; вул.Галицька, 211, с.Станькова, Калуський р-н, Івано-Франківська обл., 77321 (народний дім, актова зала);Середня;24.297130,49.152037
260323; с.Студінка; вул.Панаса Мирного, 5, с.Студінка, Калуський р-н, Івано-Франківська обл., 77334 (народний дім, актова зала);Середня;24.466887,49.045131
260324; с.Середній Бабин; вул.Степана Бандери, 5, с.Середній Бабин, Калуський р-н, Івано-Франківська обл., 77335 (народний дім, актова зала);мала;24.503629,49.060343
260325; с.Томашівці; вул.Гургули, 18, с.Томашівці, Калуський р-н, Івано-Франківська обл., 77327 (школа, спортивний зал);Середня;24.443653,49.137728
260326; с.Перекоси; вул.Тараса Шевченка, 44, с.Перекоси, Калуський р-н, Івано-Франківська обл., 77328 (народний дім, актова зала);Середня;24.390335,49.164943
260327; с.Тужилів; вул.Якубова, 8, с.Тужилів, Калуський р-н, Івано-Франківська обл., 77346 (народний дім, актова зала);Середня;24.254994,48.988741
260538; м.Рогатин – вул.Миру, вул.Ольги Кобилянської, вул.Петра Шеремети; вул.Миру, 1, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000 (товариство сприяння обороні України, фойє);мала;24.609190,49.398513
260539; м.Рогатин – вул.Богдана Хмельницького, вул.Богуна, вул.Бориса Кудрика: 15, 19, 21–23, 25, 29–31., вул.Галицька: 1 к.А–59, 61, 63, 69, 71, 77, 79, 81–81 к.А, 83, 85., вул.Данила Галицького, вул.Драгоманова, вул.Завода, вул.Зарічна, вул.Коновальця, вул.Коцюбинського, вул.Крип’якевича, вул.Левицького, вул.Лесі Українки, вул.Липова, вул.Михайла Грушевського, вул.Надрічна, вул.Пасічна, вул.Петра Могили, вул.Поповича, вул.Роксолани, вул.Степана Бандери: 1–12, 15, 17, 19, 21–25., вул.Угрина Безгрішного, вул.Яричевського, пл.Роксолани; вул.Галицька, 36, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000 (будинок школяра, зала);Велика;24.611615,49.406179
260540; м.Рогатин – вул.Богдана Лепкого, вул.Бориса Кудрика: 1–14, 16–18, 20, 24, 26, 32–40., вул.Валова, вул.Відродження, вул.Володимира Винниченка, вул.Володимирська, вул.Галицька: 60, 62, 64, 70, 72–76, 78, 80, 82, 84, 88–123., вул.Городецького, вул.Грицая, вул.Івана Франка, вул.Крушельницьких, вул.Мазепи, вул.Михайла Галущинського, вул.Міцькевича, вул.Молодіжна, вул.Незалежності, вул.Нова, вул.Осмомисла, вул.Панаса Мирного, вул.Перенівська, вул.Польова, вул.Садова, вул.Січових Стрільців, вул.Старомлинська, вул.Тараса Шевченка: 1–28, 31., вул.Тичини, вул.Турянського, вул.Фортечна, вул.Чорновола, вул.Шашкевича, пров.Грицая; вул.Шашкевича, 61, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000 (агроколедж, актова зала);Велика;24.612801,49.411994
260541; м.Рогатин – вул.Василя Стуса, вул.Володимира Івасюка, вул.Європейська, вул.Зелена, вул.Івана Телев’яка, вул.Мирона Тарнавського, вул.Панькевича, вул.Святомиколаївська, вул.Симона Петлюри, вул.Степана Бандери: 14, 16, 18, 20, 26–124., вул.Тараса Шевченка: 30, 32–223., вул.Юрія Рогатинця; вул.Шевченка, 136, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000 (будинок культури, фойє);Середня;24.623242,49.410921
260542; смт Букачівці, с.Букачівська Слобода, с.Витань; вул.Чорновола, 21, смт Букачівці, Рогатинський р-н, Івано-Франківська обл., 77065 (народний дім, зала);Середня;24.498027,49.259011
260543; с.Посвірж; вул.Шевченка, 22А, с.Посвірж, Рогатинський р-н, Івано-Франківська обл., 77065 (сільський клуб, зала);мала;24.470380,49.265790
260544; с.Бабухів; вул.Бандери, 156, с.Бабухів, Рогатинський р-н, Івано-Франківська обл., 77037 (сільський клуб, зала);Середня;24.608546,49.358042
260545; с.Васючин; вул.Р.Левицького, 263, с.Васючин, Рогатинський р-н, Івано-Франківська обл., 77033 (сільський клуб, зала);Середня;24.466537,49.354325
260546; с.Вільхова; вул.Которини, 335А, с.Вільхова, Рогатинський р-н, Івано-Франківська обл., 77050 (ФАП, каб.1);мала;24.490027,49.326494
260547; с.Вербилівці; вул.С.Городецького, 14А, с.Вербилівці, Рогатинський р-н, Івано-Франківська обл., 77005 (сільський клуб, зала);Середня;24.609006,49.388413
260548; с.Залужжя; вул.С.Бандери, 24А, с.Залужжя, Рогатинський р-н, Івано-Франківська обл., 77006 (сільський клуб, зала);Середня;24.599088,49.403694
260549; с.Верхня Липиця; вул.Центральна, 11А, с.Верхня Липиця, Рогатинський р-н, Івано-Франківська обл., 77043 (будинок культури, зала) / вул.Центральна, 1А, с.Верхня Липиця, Рогатинський р-н, Івано-Франківська обл., 77043;Середня;24.781655,49.352703
260550; с.Гоноратівка; вул.Центральна, 21А, с.Гоноратівка, Рогатинський р-н, Івано-Франківська обл., 77043 (ФАП, каб.1);мала;24.769815,49.407007
260551; с.Городиська, с.Зеленів; вул.Л.Українки, 25А, с.Зеленів, Рогатинський р-н, Івано-Франківська обл., 77043 (сільський клуб, зала);мала;24.806165,49.368682
260552; с.Малинівка; вул.Шевченка, 2А, с.Малинівка, Рогатинський р-н, Івано-Франківська обл., 77043 (сільський клуб, зала);мала;24.822512,49.349637
260553; с.Лопушня; вул.Центральна, 30А, с.Лопушня, Рогатинський р-н, Івано-Франківська обл., 77044 (сільський клуб, зала);мала;24.773041,49.379676
260554; с.Виспа; вул.Шевченка, 52, с.Виспа, Рогатинський р-н, Івано-Франківська обл., 77010 (сільський клуб, зала);мала;24.449548,49.498583
260555; с.Любша; вул.Зелена, 59А, с.Любша, Рогатинський р-н, Івано-Франківська обл., 77010 (школа, актова зала);мала;24.442184,49.493193
260556; с-ще Кам’янка, с.Мельна; вул.Золота, 8, с.Мельна, Рогатинський р-н, Івано-Франківська обл., 77010 (ФАП, каб.1);мала;24.461518,49.525943
260557; с.Вишнів, с.Зруб; вул.Гора, 188, с.Вишнів, Рогатинський р-н, Івано-Франківська обл., 77063 (сільський клуб, зала);мала;24.392660,49.276775
260558; с.Воронів; вул.Бічна, 2, с.Воронів, Рогатинський р-н, Івано-Франківська обл., 77020 (відділення зв’язку, зала);мала;24.570974,49.490070
260559; с.Липівка; пл.Містечок, 1, с.Липівка, Рогатинський р-н, Івано-Франківська обл., 77020 (будинок культури, зала);Середня;24.565912,49.516197
260560; с.Кривня; вул.Долішня Кривня, 10А, с.Кривня, Рогатинський р-н, Івано-Франківська обл., 77020 (сільський клуб, зала);мала;24.588244,49.508182
260561; с.Кліщівна; вул.Шевченка, 11А, с.Кліщівна, Рогатинський р-н, Івано-Франківська обл., 77021 (сільський клуб, зала);мала;24.597272,49.487982
260562; с.Воскресинці; вул.Л.Українки, 4А, с.Воскресинці, Рогатинський р-н, Івано-Франківська обл., 77034 (сільський клуб, зала);Середня;24.425099,49.361270
260563; с.Григорів, с-ще Григорівська Слобода; вул.Шевченка, 12, с.Григорів, Рогатинський р-н, Івано-Франківська обл., 77063 (сільський клуб, зала) / вул.Шевченка, 10, с.Григорів, Рогатинський р-н, Івано-Франківська обл., 77063;мала;24.427960,49.330835
260564; с.Дегова; вул.Шевченка, 9, с.Дегова, Рогатинський р-н, Івано-Франківська обл., 77019 (сільський клуб, зала) / вул.Шевченка, 2, с.Дегова, Рогатинський р-н, Івано-Франківська обл., 77019;мала;24.477378,49.422576
260565; с.Приозерне; вул.Долішня, 2, с.Приозерне, Рогатинський р-н, Івано-Франківська обл., 77018 (сільський клуб, зала);мала;24.466283,49.415205
260566; с.Дички; вул.Зелена, 131, с.Дички, Рогатинський р-н, Івано-Франківська обл., 77012 (сільський клуб, зала);мала;24.513650,49.473056
260567; с.Яглуш; вул.Центральна, 123, с.Яглуш, Рогатинський р-н, Івано-Франківська обл., 77012 (сільський клуб, зала);мала;24.486724,49.484323
260568; с.Малий Заланів, с.Заланів; вул.Центральна, 17А, с.Заланів, Рогатинський р-н, Івано-Франківська обл., 77012 (будинок культури, зала);мала;24.539815,49.463546
260569; с.Добринів, с.Корчунок; вул.Л.Мартовича, 9, с.Добринів, Рогатинський р-н, Івано-Франківська обл., 77025 (будинок культури, зала);Середня;24.707582,49.444489
260570; с.Долиняни; вул.Центральна, 4, с.Долиняни, Рогатинський р-н, Івано-Франківська обл., 77017 (будинок культури, зала);Середня;24.407225,49.425959
260571; с.Жовчів; вул.Центральна, 1, с.Жовчів, Рогатинський р-н, Івано-Франківська обл., 77045 (будинок культури, зала);мала;24.717601,49.360286
260572; с.Данильче; вул.Черемшини, 13, с.Данильче, Рогатинський р-н, Івано-Франківська обл., 77045 (сільський клуб, зала);мала;24.705232,49.367801
260573; с.Княгиничі; вул.Шухевича, 6, с.Княгиничі, Рогатинський р-н, Івано-Франківська обл., 77030 (школа, актова зала);мала;24.466153,49.381487
260574; с.Загір’я; вул.Шевченка, 2А, с.Загір’я, Рогатинський р-н, Івано-Франківська обл., 77031 (сільський клуб, зала);мала;24.475039,49.381716
260575; с.Козарі; вул.Центральна, 95, с.Козарі, Рогатинський р-н, Івано-Франківська обл., 77064 (будинок культури, зала);Середня;24.454913,49.249487
260576; с.Журавеньки; вул.Б.Хмельницького, 50А, с.Журавеньки, Рогатинський р-н, Івано-Франківська обл., 77064 (школа, фойє);мала;24.374055,49.241765
260577; с.Колоколин; вул.Миру, 55, с.Колоколин, Рогатинський р-н, Івано-Франківська обл., 77060 (сільська рада, зала засідань);мала;24.495037,49.300254
260578; с.Конюшки; вул.Галицька, 75А, с.Конюшки, Рогатинський р-н, Івано-Франківська обл., 77036 (будинок культури, зала);Середня;24.600733,49.320523
260579; с.Березівка; вул.Хомина, 12, с.Березівка, Рогатинський р-н, Івано-Франківська обл., 77036 (бібліотека, читальна зала);мала;24.544185,49.333523
260580; с.Луковець-Вишнівський; вул.Шевченка, 42, с.Луковець-Вишнівський, Рогатинський р-н, Івано-Франківська обл., 77052 (сільський клуб, зала);мала;24.344924,49.295634
260581; с.Луковець-Журівський; вул.Голешівська, 38, с.Луковець-Журівський, Рогатинський р-н, Івано-Франківська обл., 77052 (ФАП, каб.1);мала;24.325100,49.301594
260582; с.Лучинці; вул.Шевченка, 20А, с.Лучинці, Рогатинський р-н, Івано-Франківська обл., 77046 (сільський клуб, зала);Середня;24.624857,49.350403
260583; с.Обельниця; вул.Шевченка, 30А, с.Обельниця, Рогатинський р-н, Івано-Франківська обл., 77047 (сільський клуб, зала);мала;24.628860,49.316376
260584; с.Нижня Липиця, с-ще Вигода; вул.Шевченка, 40, с.Нижня Липиця, Рогатинський р-н, Івано-Франківська обл., 77071 (сільський клуб, зала);мала;24.791251,49.322823
260585; с.Підвиння, с-ще Лісова; вул.Шевченка, 7, с.Підвиння, Рогатинський р-н, Івано-Франківська обл., 77000 (сільський клуб, зала);мала;24.655214,49.425269
260586; с.Кутці; вул.Незалежності, 18, с.Кутці, Рогатинськийр-н, Івано-Франківська обл., 77000 (сільський клуб, зала);мала;24.641112,49.409636
260587; с.Перенівка; вул.Шевченка, 4А, с.Перенівка, Рогатинський р-н, Івано-Франківська обл., 77000 (сільський клуб, зала);мала;24.613657,49.431246
260588; с.Підгороддя, с.Луковище; вул.Шевченка, 6, с.Підгороддя, Рогатинський р-н, Івано-Франківська обл., 77023 (сільський клуб, зала);мала;24.593864,49.441400
260589; с.Руда; вул.І.Франка, 86, с.Руда, Рогатинський р-н, Івано-Франківська обл., 77024 (сільський клуб, зала);мала;24.578942,49.460172
260590; с.Підкамінь; вул.Л.Українки, 10А, с.Підкамінь, Рогатинський р-н, Івано-Франківська обл., 77014 (сільський клуб, зала);мала;24.483809,49.450856
260591; с.Підмихайлівці; вул.Шевченка, 14А, с.Підмихайлівці, Рогатинський р-н, Івано-Франківська обл., 77050 (школа, актова зала);мала;24.453942,49.333106
260592; с.Журів; вул.Шевченка, 76А, с.Журів, Рогатинський р-н, Івано-Франківська обл., 77051 (сільський клуб, зала);мала;24.452049,49.308425
260593; с.Помонята; вул.Шевченка, 164А, с.Помонята, Рогатинський р-н, Івано-Франківська обл., 77032 (сільський клуб, зала);Середня;24.440740,49.398666
260594; с.Пуків; вул.Шевченка, 408, с.Пуків, Рогатинський р-н, Івано-Франківська обл., 77041 (будинок культури, зала) / вул.17 вересня, 18, с.Пуків, Рогатинський р-н, Івано-Франківська обл., 77041;Середня;24.695330,49.394204
260595; с.Путятинці; вул.Шевченка, 23А, с.Путятинці, Рогатинський р-н, Івано-Франківська обл., 77040 (сільський клуб, зала);Середня;24.645290,49.378051
260596; с.Сарники, с.Заливки; вул.Незалежності, 18, с.Сарники, Рогатинський р-н, Івано-Франківська обл., 77072 (школа, актова зала);Середня;24.741478,49.306889
260597; с.Діброва; вул.Центральна, 88, с.Діброва, Рогатинський р-н, Івано-Франківська обл., 77073 (школа, фойє);мала;24.735826,49.290337
260598; с.Світанок, с.Бойки, с-ще Стефанівка; вул.Жовтнева, 11, с.Світанок, Рогатинський р-н, Івано-Франківська обл., 77074 (сільська рада, зала засідань);мала;24.801233,49.290680
260599; с.Стратин, с-ще Пилипівці; пл.Шевченка, 19, с.Стратин, Рогатинський р-н, Івано-Франківська обл., 77022 (сільський клуб, зала);мала;24.705848,49.466499
260600; с.Погребівка; вул.Львівська, 8, с.Погребівка, Рогатинський р-н, Івано-Франківська обл., 77022 (колишній магазин, зала);мала;24.674515,49.496206
260601; с.Уїзд; вул.Центральна, 70А, с.Уїзд, Рогатинський р-н, Івано-Франківська обл., 77045 (школа, спортивна зала);мала;24.712998,49.334492
260602; с.Фрага; вул.Львівська, 35А, с.Фрага, Рогатинський р-н, Івано-Франківська обл., 77011 (школа, актова зала);мала;24.440561,49.471442
260603; с.Підбір’я; вул.Шевченка, 25А, с.Підбір’я, Рогатинський р-н, Івано-Франківська обл., 77011 (сільський клуб, зала);мала;24.443534,49.480462
260604; с.Беньківці; вул.Галицька, 1А, с.Беньківці, Рогатинський р-н, Івано-Франківська обл., 77014 (школа, актова зала);мала;24.452095,49.441914
260605; с.Чагрів; майдан Шевченка, 3, с.Чагрів, Рогатинський р-н, Івано-Франківська обл., 77061 (сільський клуб, зала);мала;24.534864,49.298409
260606; с.Чернів; вул.Стуса, 12, с.Чернів, Рогатинський р-н, Івано-Франківська обл., 77062 (будинок культури, зала);мала;24.453118,49.276063
260607; с.Черче; вул.Шевченка, 54, с.Черче, Рогатинський р-н, Івано-Франківська обл., 77015 (сільський клуб, зала);Середня;24.555629,49.427216
260608; с.Потік; вул.Роксолани, 12, с.Потік, Рогатинський р-н, Івано-Франківська обл., 77016 (школа, спортивна зала);Середня;24.579148,49.416719
260609; с.Залип’я; вул.Шевченка, 82, с.Залип’я, Рогатинський р-н, Івано-Франківська обл., 77016 (ФАП, оглядовий кабінет);мала;24.578761,49.435890
260610; с.Чесники; вул.Гончарівка, 2, с.Чесники, Рогатинський р-н, Івано-Франківська обл., 77042 (будинок культури, зала);Середня;24.727524,49.387526
260611; с.Юнашків; вул.І.Кліща, 2А, с.Юнашків, Рогатинський р-н, Івано-Франківська обл., 77070 (сільський клуб, зала);Середня;24.660901,49.308547
260612; с.Явче, с.Йосипівка, с-ще Межигаї; вул.Левицького, 4, с.Явче, Рогатинський р-н, Івано-Франківська обл., 77035 (школа, фойє);мала;24.505987,49.350595
260962; м.Калуш – вул.Бічна Паркова, вул.Богуна, вул.Гулака, вул.Івана Іскри, вул.Коритовського, вул.Костельна, вул.Коцюбинського, вул.Левицької-Басараб, вул.Ломоносова, вул.Марусі Чурай, вул.Міцкевича, вул.Млинівка, вул.Наливайка, вул.Нечая, вул.Паркова, вул.Роксолани, вул.Сохацького, вул.Степана Бандери, вул.Філатова, вул.Франка, вул.Чехова, вул.Шевченка, пл.Героїв; вул.Степана Бандери, 11, м.Калуш, Івано-Франківська обл., 77301 (музична школа №1, концертна зала);Середня;24.371120,49.023002
260963; м.Калуш – вул.Грушевського, вул.Рубчака; вул.Грушевського, 88, м.Калуш, Івано-Франківська обл., 77302 (стоматполіклініка, актова зала);Велика;24.360241,49.019026
