Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
121162; м.Дніпро – вул.Дмитра Донцова, вул.Івана Акінфієва, вул.Набережна Перемоги: 2Р., вул.Яворницького, вул.Яружна, вул.8 Березня, пл.Соборна: 7–9А., пров.Феодосія Макаревського; пл.Шевченка, 1, м.Дніпро, 49027 (Палац студентів, хол, 1-й поверх);Велика;35.071001,48.460873
121163; м.Дніпро – вул.Архітектора Дольніка, вул.Володимира Вернадського: 10–12, 16, 18–18А, 20–35Т., вул.Сергія Єфремова: 15–21К., пров.Євгена Коновальця: 4.,; вул.Сергія Єфремова, 25, м.Дніпро, 49027 (Дніпропетровський державний аграрний університет, ауд.140, 1-й поверх);Велика;35.065416,48.461130
121164; м.Дніпро – вул.Барнаульська, вул.Кам’яна, вул.Колодязна, вул.Ламана, вул.Михайла Коцюбинського, вул.Павла Нірінберга, вул.Поля, вул.Різнична, вул.Січеславська Набережна: 37, 39, 45, 47, 49, 49А., пров.Тісно-кам’яний, узвіз Струківський; вул.Ливарна, 10, м.Дніпро, 49044 (Дніпропетровська консерваторія ім.М.Глінки, хол, 1-й поверх);Велика;35.060616,48.465462
121165; м.Дніпро – вул.Барикадна: 1, 2, 6, 8, 9, 11, 11А, 13, 15, 17А, 20, 21, 22, 24., вул.Ливарна, вул.Шолом-Алейхема, вул.Якова Самарського, пл.Успенська: 5, 7, 11А, 15, 17., пров.Барикадний, узвіз Крутогірний: 7–33.,; вул.Якова Самарського, 4, м.Дніпро, 49000 (навчально-виховний комплекс №100, хол, 1-й поверх);Велика;35.056608,48.464850
121166; м.Дніпро – вул.Володимира Винниченка, вул.Сергія Єфремова: 1–14Д, 26., пл.Соборна: 1–6, 14/27., пл.Шевченка, пров.Євгена Коновальця: 8–13., просп.Дмитра Яворницького: 20, 20Д, 26, 26Б, 30, 32., узвіз Крутогірний: 3–5.,; пл.Соборна, 4, м.Дніпро, 49044 (Дніпропетровська медична академія, хол, 1-й поверх);Велика;35.063454,48.458171
121167; м.Дніпро – вул.Володимира Вернадського: 1–8А(гурт 2), 13–15, 17, 19/21., просп.Дмитра Яворницького: 34, 36.,; вул.Володимира Вернадського, 2/4, м.Дніпро, 49000 (Академія митної служби України, хол, 1-й поверх);Середня;35.055477,48.460123
121168; м.Дніпро – вул.Василя Жуковського: 1–6, 7, 11–17, 19, 21., вул.Володимира Моссаковського: 1–5., вул.Олеся Гончара: 2–6, 10, 12, 14., вул.Паторжинського: 6Б, 8, 10., вул.Шевченка: 3, 4, 5, 6, 9, 11., просп.Дмитра Яворницького: 23, 25, 29, 31, 33.,; вул.Володимира Моссаковського, 2А, м.Дніпро, 49044 (Дніпропетровський технікум зварювання та електроніки, хол, 1-й поверх);Середня;35.055057,48.456267
121169; м.Дніпро – вул.Виконкомівська: 1Б., вул.Гоголя: 1–14А, 17., вул.Паторжинського: 14/16, 18, 22, 24, 30., вул.Південна: 7, 9, 11., вул.Шевченка: 12, 16, 18, 18Б, 22, 23, 26, 28, 33, 35, 37А, 39, 41, 41А, 45, 47., пров.Шевченка, просп.Дмитра Яворницького: 41, 45, 45А, 45Б.,; вул.Гоголя, 29, м.Дніпро, 49044 (ДРІДУ НАДУ при Президентові України, коридор, 1-й поверх);Велика;35.051143,48.454944
121170; м.Дніпро – вул.Василя Жуковського: 6А(гурт 2), 21А, 25–35А., вул.Володимира Моссаковського: 6А–12, 14–24., вул.Гоголя: 16, 19–27А., вул.Довга балка: 2–33., вул.Олеся Гончара: 7–9, 11, 13, 15–32., вул.Паторжинського: 3, 7А, 9, 11, 13, 15, 17, 19, 21, 25, 27, 29, 29Б, 31.,; вул.Василя Жуковського, 6А, м.Дніпро, 49005 (Придніпровська державна академія будівництва та архітектури, гуртожиток №2, актова зала, 1-й поверх);Велика;35.055797,48.454385
121171; м.Дніпро – вул.Василя Жуковського: 8, 18, 20А–20Б, 22–24, 39А–45., вул.Володимира Моссаковського: 13А(гурт 6)–13(гурт 5), 26–40., вул.Гоголя: 41–70., вул.Гусенка, вул.Олеся Гончара: 36–44., вул.Чернишевського: 15, 20, 24–47., пров.Гоголя; вул.Чернишевського, 24А, м.Дніпро, 49005 (Придніпровська державна академія будівництва та архітектури, 1-й хол, 1-й поверх);Велика;35.052970,48.453883
